,question,options
206,"Would you say that each of the following has done a very good, somewhat good, somewhat bad, or very bad job dealing with the coronavirus outbreak? e. The World Health Organization, or WHO","['Very good', 'Somewhat good', 'Somewhat bad', 'Very bad', 'DK/Refused']"
824,"Now I'd like you to tell me your views on various issues. How would you place your views on this scale? 1 means you agree completely with the statement on the left; 10 means you agree completely with the statement on the right; and if your views fall somewhere in between, you can choose any number in between.

Competition good or harmful","['Competition is good', '2', '3', '4', '5', '6', '7', '8', '9', 'Competition is harmful', ""Don't know"", 'No answer', 'Other missing; Multiple answers Mail (EVS)']"
514,Do you think people should be able to say these types of things publically OR the government should be able to prevent people from saying these things in some circumstances. e. statements that are sexually explicit,"['People should be able to say these things publically', 'Government should be able to prevent people from saying these things', 'DK/Refused']"
284,"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of...French President Jacques Chirac","['Very favorable', 'Somewhat favorable', 'Somewhat unfavorable', 'Very unfavorable', 'Never heard of']"
59,Have you heard about the dispute about the publication of cartoons with the image of the prophet Muhammad?,"['Yes, have heard of it', 'No, have not heard of it']"
476,Which of these characteristics do you associate with Muslims?...Selfish...Do you associate this with Muslims or not?,"['Yes', 'No']"
650,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?

The courts","['A great deal', 'Quite a lot', 'Not very much', 'None at all', ""Don't know"", 'No answer', 'Other missing; Multiple answers Mail (EVS)']"
327,"All in all, how do you feel about the world becoming more connected through greater economic trade and faster communication - do you think this is a very good thing, somewhat good, somewhat bad or a very bad thing for our country?","['Very good', 'Somewhat good', 'Somewhat bad', 'Very bad']"
276,"For each, tell me how much confidence you have in each leader to do the right thing regarding world affairs – a lot of confidence, some confidence, not too much confidence, or no confidence at all. e. French President Emmanuel Macron","['A lot of confidence', 'Some confidence', 'Not too much confidence', 'No confidence at all', 'DK/Refused']"
560,Which of these characteristics do you associate with Muslims?...Arrogant...Do you associate this with Muslims or not?,"['Yes', 'No']"
330,"When children today in your country grow up, do you think they will be better off or worse off financially than their parents? ","['Better off', 'Worse off', 'Same (VOL)', 'Same (DO NOT READ)', 'DK/Refused']"
756,"For each of the following aspects, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all

Leisure time","['Very important', 'Rather important', 'Not very important', 'Not at all important', ""Don't know"", 'No answer', 'Other missing; Multiple answers Mail (EVS)']"
116,"Some countries are considering a ban on Muslim women wearing full veils that cover all of the face except the eyes in public places including schools, hospitals, and government offices. Would you approve or disapprove of such a ban in your country?","['Approve', 'Disapprove']"
190,"In your opinion, in the public, are the conflicts very strong, strong, not very strong or are there not any conflicts between ____? c. People who are religious and people who are not religious","['Very strong conflicts', 'Strong conflicts', 'Not very strong conflicts', 'There are not conflicts', 'DK/Refused']"
151,"I'd like your opinion about some possible international concerns for your country. Do you think that ___ is a major threat, a minor threat, or not a threat to your country? h. Global poverty","['Major threat', 'Minor threat', 'Not a threat', 'DK/Refused']"
587,"Which of the following statements comes closest to your view...Brazil will eventually be one of the most powerful nations in the world, Brazil is already one of the most powerful nations in the world, or Brazil will never be one of the most powerful nations","['(Survey country) will eventually be one of the most powerful nations in the world', '(Survey country) is already one of the most powerful nations in the world', '(Survey country) will never be one of the most powerful nations in the world', 'It is sometimes acceptable for a news organization to favor one political party over others when reporting the news', 'It is never acceptable for a news organization to favor one political party over others when reporting the news', 'DK/Refused']"
114,"How important is it to have the following things in our country? Is it very important, somewhat important, not too important or not important at all? b. the media can report the news without <state or government> censorship","['Very important', 'Somewhat important', 'Not too important', 'Not important at all', 'DK/Refused']"
156,Please tell me if you approve or disapprove of the way President Barack Obama is dealing with...the conflict between Israelis and Palestinians.,"['Approve', 'Disapprove']"
110,"Who is most to blame for the violence in eastern Ukraine?...Pro-Russian separatists in Ukraine, the Ukrainian government, Russia or Western countries, such as those in Europe and the U.S.?","['Pro-Russian separatists in Ukraine', 'Ukrainian government', 'Russia', 'Western countries, such as those in Europe and the U.S.', 'More than one named (VOL)', 'All of the above (VOL)', 'None of the above (VOL)']"
572,Please tell me if you approve or disapprove of the way President Barack Obama is dealing with...Iran.,"['Approve', 'Disapprove']"
129,"Please tell me whether you completely agree, mostly agree, mostly disagree, or completely disagree with the following statements...When jobs are scarce, men should have more right to a job than women","['Completely agree', 'Mostly agree', 'Mostly disagree', 'Completely disagree', 'DK/Refused']"
61,"Now I'm going to read a list of political leaders.  For each, tell me how much confidence you have in each leader to do the right thing regarding world affairs - a lot of confidence, some confidence, not too much confidence, or no confidence at all?...German Chancellor Gerhard Schroeder","['A lot of confidence', 'Some confidence', 'Not too much confidence', 'No confidence at all']"
286,Some people say that the following things are important for being truly your nationality. Others say they are not important. How important do you think each of the following is? b. to be able to speak the official language,"['Very important', 'Somewhat important', 'Not very important', 'Not at all important', 'DK/Refused']"
369,Some countries have decided to ban the wearing of head scarves by Muslim women in public places including schools. Do you think this is a good idea or a bad idea?,"['Good idea', 'Bad idea']"
208,"All things considered, who has a better life in this country, men or women?","['Men', 'Women', 'Same (DO NOT READ)', 'Same (VOL)', 'DK/Refused']"
479,"Now I am going to read you a list of things that may be problems in our country.  As I read each one, please tell me if you think it is a very big problem, a moderately big problem, a small problem or not a problem at all...Crime","['Very big problem', 'Moderately big problem', 'Small problem', 'Not a problem at all', 'DK/Refused']"
634,"Overall, do you approve or disapprove of the international policies of President Barack Obama?","['Approve', 'Disapprove']"
472,Have you heard about last year's riots by youths from immigrant and working class suburbs in France and elsewhere?,"['Yes, have heard of it', 'No, have not heard of it']"
433,"For each of the following, please tell me how news organizations in your country are doing on the issue. Would you say news organizations are doing this very well, somewhat well, not too well, or not well at all? a. reporting news accurately","['Very well', 'Somewhat well', 'Not too well', 'Not well at all', 'News organizations should not do this (VOL)', 'DK/Refused']"
168,Which country do you think will win the 2010 World Cup?,"['Argentina', 'Australia', 'Brazil', 'England', 'France', 'Germany', 'Italy', 'Spain', 'Other (VOL)']"
543,And which one of these comes closer to your opinion? Homosexuality should be accepted by society OR Homosexuality should not be accepted by society,"['Homosexuality should be accepted by society', 'Homosexuality should not be accepted by society', 'DK/Refused']"
130,"And as a consequence of the war, do you have more confidence or less confidence that the US wants to promote democracy all around the world?","['More', 'Less', 'Same (VOL.)']"
294,"Do you think the government of Saudi Arabia respects the personal freedoms of its people, or don't you think so?","['Yes, respects personal freedoms', 'No, does not respect personal freedoms']"
495,"To reduce the effects of global climate change, do you think people will have to make major changes in the way they live or can technology solve the problem without requiring major changes?","['Have to make major changes', 'Technology can solve the problem without major changes', 'Neither (VOL)', 'Climate change does not exist (VOL)', 'DK/Refused']"
111,"Now thinking about our economic situation, how would you describe the current economic situation in your country - is it very good, somewhat good, somewhat bad or very bad?","['Very good', 'Somewhat good', 'Somewhat bad', 'Very bad', 'DK/Refused']"
368,"When it comes to important issues facing the public, people may disagree over policies, but do you think most people agree or disagree on basic facts?","['Agree on the basic facts', 'Disagree on the basic facts', 'DK/Refused']"
233,"I'd like your opinion about some possible international concerns for your country. Do you think that ____ is a major threat, a minor threat or not a threat to your country? g. North Korea's nuclear program","['Major threat', 'Minor threat', 'Not a threat', 'DK/Refused']"
468,"If an innocent people were being killed by the army, the police or another tribe, in another country, who would you trust most to do something to stop the killings?","['France', 'Germany', 'China', 'Britain', 'Japan', 'United States', 'Russia', 'None of these (VOL)']"
724,"What about these forms of political action and social activism that people can take?. Please, tell me for each of them if you have done any of these things, whether you might do it or would never under any circumstances do it:

Encouraging others to vote","['Have done', 'Might do', 'Would never do', ""Don't know"", 'No answer', 'Missing; Not available']"
515,"I’d like your opinion about some possible international concerns for your country. Do you think that ____ is a major threat, a minor threat or not a threat to your country? d. global climate change","['Major threat', 'Minor threat', 'Not a threat', 'DK/Refused']"
182,"What kind of marriage do you think is the more satisfying way of life...where the husband provides for the family and the wife takes care of the house and children, or where both have jobs and both take care of the house and children?","['Husband provides for family', 'Both have jobs - care of house and children']"
606,Which of the following statements comes closest to your opinion? It is not necessary to believe in God in order to be moral and have good values OR It is necessary to believe in God in order to be moral and have good values?,"['It is not necessary to believe in God in order to be moral and have good values', 'It is necessary to believe in God in order to be moral and have good values', 'DK/Refused']"
420,"Please tell me whether you completely agree, mostly agree, mostly disagree or completely disagree with the following statements. a. Most elected officials care what people like me think","['Completely agree', 'Mostly agree', 'Mostly disagree', 'Completely disagree', 'DK/Refused']"
553,As I read some specific US policies tell me if you approve or disapprove of them...The US decision to try Al Qaeda prisoners before military tribunals rather than in the US civilian courts,"['Approve', 'Disapprove']"
771,"I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?

Having experts, not government, make decisions according to what they think is best for the country","['Very good', 'Fairly good', 'Fairly bad', 'Very bad', ""Don't know"", 'No answer', 'Other missing; Multiple answers Mail (EVS)']"
784,"In political matters, people talk of ""the left"" and ""the right."" How would you place your views on this scale, generally speaking?","['Left', '2', '3', '4', '5', '6', '7', '8', '9', 'Right', ""Don't know"", 'No answer', 'Other missing; Multiple answers Mail (EVS)']"
745,"Do you agree or disagree with the following statements?

Work is a duty towards society","['Strongly agree', 'Agree', 'Neither agree or disagree', 'Disagree', 'Strongly disagree', ""Don't know"", 'No answer', 'Other missing; Multiple answers Mail (EVS)']"
