,question
0,"Which statement comes closer to your own views, even if neither is exactly right? Using overwhelming military force is the best way to defeat terrorism around the world, Relying too much on military force to defeat terrorism creates hatred that leads to more terrorism"
1,"In your opinion, how strong a sense of Islamic identity do Muslims in our country have--very strong, fairly strong, not too strong, or not strong at all?"
2,Do you think this change in the working conditions for ordinary workers is largely because of the way the world has become more connected or mostly for other reasons?
3,"Do you think that using military force against countries that may seriously threaten our country, but have not attacked us, can often be justified, sometimes be justified, rarely be justified, or never be justified?"
4,"On the subject of Iraq, did your country make the right decision or the wrong decision to use military force against Iraq?"
5,"Do you think the U.S. should keep military troops in Iraq until the situation has stabilized, or do you think the U.S. should remove its troops as soon as possible?"
6,"Do you personally believe that drinking alcohol is morally acceptable, morally unacceptable, or is it not a moral issue? "
7,"How satisfied are you with the way democracy is working in our country - very satisfied, somewhat satisfied, not too satisfied or not at all satisfied?"
8,Has each of the following gotten better or worse over the last five years in our country: the gap between rich and poor people.
9,"Would you say that each of the following is doing a very good, somewhat good, somewhat bad, or very bad job dealing with global climate change? b. the public"
10,"Thinking about possible war with Iraq, would you favor or oppose your country's joining the US and other allies in military action in Iraq to end Saddam Hussein's rule?"
11,"According to news reports, the American government has been monitoring communications, such as emails and phone calls, in the U.S. and many other countries. In your opinion, is it acceptable or unacceptable for the American government to monitor communications from...American citizens?"
12,"How likely or unlikely do you think it is that, in the future, a cyberattack will result in the following situation? a. Public infrastructure in your country such as power grids or phone and internet systems will be damaged"
13,Do you think this change in the availability of modern medicines and treatments is largely because of the way the world has become more connected or mostly for other reasons?
14,"Here is the 'ladder of life.'  Let's suppose the top of the ladder represents the best possible life for you; and the bottom, the worst possible life for you.  On which step of the ladder do you feel you stand at the present time?"
15,"For each of the following, please tell me how news organizations in your country are doing on the issue. Would you say news organizations are doing this very well, somewhat well, not too well, or not well at all? d. reporting on the most important news events"
16,"Do you personally believe that getting a divorce is morally acceptable, morally unacceptable, or is it not a moral issue? "
17,Please tell me whether you think the following statements apply to the United Nations or not. The United Nations… b. Promotes economic development
18,"Does this statement describe your country very well, somewhat well, not too well, or not well at all? c. Most politicians are corrupt"
19,"How important is it to have the following things in our country? Is it very important, somewhat important, not too important or not important at all? a. there is a judicial system that treats everyone in the same way"
20,Do you think people should be able to say these types of things publically OR the government should be able to prevent people from saying these things in some circumstances. d. statements that call for violent protests
