;source;category;question;answer_uk;answer_us;question type
0;GPT-4 generated;Society & Relationships;What's the national sport?;Cricket or football (soccer).;Baseball or American football.;Multiple Choice
1;GPT-4 generated;Society & Relationships;What's the most popular weekend sport activity?;Watching football (soccer).;Watching American football.;Multiple Choice
2;GPT-4 generated;Society & Relationships;What do you call a game with a bat and ball where you run between wickets?;Cricket.;We don't have a popular sport like that closest is baseball.;Multiple Choice
3;GPT-4 generated;Society & Relationships;What is 'March Madness'?;Not a common term it relates to American college basketball.;A college basketball tournament held in March.;Multiple Choice
4;GPT-4 generated;Society & Relationships;What's the Premier League?;The top tier of English football (soccer).;A European soccer league not a domestic sports league.;Multiple Choice
5;GPT-4 generated;Society & Relationships;What do you call the championship game of American football?;We don't have American football but it's known as the Super Bowl.;The Super Bowl.;Multiple Choice
6;GPT-4 generated;Society & Relationships;What is rugby?;A sport similar to American football but without padding.;A sport that's somewhat like American football but not as popular here.;Multiple Choice
7;GPT-4 generated;Society & Relationships;What is the most prestigious golf tournament?;The Open Championship commonly known as The Open.;The Masters.;Ordinal Scale
8;GPT-4 generated;Society & Relationships;What's a common children's sport?;Football (soccer) or netball.;Soccer or Little League baseball.;Multiple Choice
9;GPT-4 generated;Society & Relationships;What's a hat-trick?;Scoring three goals in a football (soccer) match.;Scoring three times in a hockey or soccer game.;Multiple Choice
10;GPT-4 generated;Society & Relationships;What's a typical sports drink?;Lucozade.;Gatorade.;Multiple Choice
11;GPT-4 generated;Society & Relationships;What do you call athletic footwear?;Trainers.;Sneakers.;Multiple Choice
12;GPT-4 generated;Society & Relationships;What's an important tennis tournament?;Wimbledon.;U.S. Open or Wimbledon.;Multiple Choice
13;GPT-4 generated;Society & Relationships;What's a pick-up game?;A casual game organized without official teams or rules.;A casual game organized without official teams or rules.;Multiple Choice
14;GPT-4 generated;Society & Relationships;What do you call it when a player scores three goals in hockey?;A hat-trick.;A hat-trick.;Binary Choice
15;GPT-4 generated;Education & Knowledge;What's the name of the lower house of parliament?;House of Commons.;House of Representatives.;Binary Choice
16;GPT-4 generated;Education & Knowledge;What's the name of the upper house of parliament?;House of Lords.;Senate.;Binary Choice
