;Unnamed: 0.1;Unnamed: 0;question;selections;options;source;value_us;value_uk;index_us;index_uk;answer_us;answer_uk;category;# of options;question type;category_group;model_answer_us;model_answer_uk;model_answer_neutral;model_answer_uk_option_match;model_answer_us_option_match;#_options;score_uk;score_us;overall_score_uk;similarity_score_uk;similarity_score_us;overall_score_us;similarity_model_answers_uk_us;similarity_ground_truth_answers_uk_us;model_answer_neutral_option_match;score_us_neutral;score_uk_neurtal;similarity_score_us_vs_neutral;similarity_score_uk_vs_neutral;overall_score_uk_neutral;overall_score_us_neutral;BERTScore_us_new;BERTScore_uk_new;BERTScore_us_uk_new
846;846;846;What's the national sport?;;;GPT-4 generated;;;;;Baseball or American football.;Cricket or football (soccer).;Society & Relationships;;Multiple Choice;Society, Culture, and Relationships;Assistant: The national sport in the United States is baseball.;The national sport is cricket.; I can say that the national sport in my country is soccer.;;;0;0.0;0.0;0.6205494403839111;0.6205494403839111;0.6226798892021179;0.6226798892021179;0.538226;0.68552375;;0.0;0.0;0.5040944218635559;0.4790108203887939;0.4790108203887939;0.5040944218635559;0.613538384437561;0.5672349333763123;0.8259711265563965
847;847;847;What's the most popular weekend sport activity?;;;GPT-4 generated;;;;;Watching American football.;Watching football (soccer).;Society & Relationships;;Multiple Choice;Society, Culture, and Relationships;The most popular weekend sport activity in our culture is pick-up soccer games in Central Park.;As a person from a British cultural background, I would say that football (soccer) is the most popular weekend sport activity.;I believe that for many people, the most popular weekend sport activity is taking part in or watching a game of football.;;;0;0.0;0.0;0.4981192052364349;0.4981192052364349;0.3647278547286987;0.3647278547286987;0.6345882;0.81663173;;0.0;0.0;0.5789970755577087;0.541060209274292;0.541060209274292;0.5789970755577087;0.6544416546821594;0.7366265654563904;0.8795466423034668
848;848;848;What do you call a game with a bat and ball where you run between wickets?;;;GPT-4 generated;;;;;We don't have a popular sport like that closest is baseball.;Cricket.;Society & Relationships;;Multiple Choice;Society, Culture, and Relationships;Cricket.;Aisha, the game you're referring to is called cricket.;That would be cricket.;;;0;0.0;0.0;0.6245714426040649;0.6245714426040649;0.4670813381671905;0.4670813381671905;0.7679071;0.29036275;;0.0;0.0;0.4833896458148956;0.7669536471366882;0.7669536471366882;0.4833896458148956;0.43605101108551025;1.0;0.43605101108551025
849;849;849;What is 'March Madness'?;;;GPT-4 generated;;;;;A college basketball tournament held in March.;Not a common term it relates to American college basketball.;Society & Relationships;;Multiple Choice;Society, Culture, and Relationships;March Madness is a college basketball tournament in the United States.;"Sorry, I cannot answer that question as I am not familiar with ""March Madness"".";'March Madness' is a term used to describe the single-elimination college basketball tournament that takes place every March in the United States.;;;0;0.0;0.0;0.3430262506008148;0.3430262506008148;0.7553519606590271;0.7553519606590271;0.72929615;0.61338437;;0.0;0.0;0.7674422264099121;0.518049418926239;0.518049418926239;0.7674422264099121;0.7995667457580566;0.6122457385063171;0.7200837135314941
850;850;850;What's the Premier League?;;;GPT-4 generated;;;;;A European soccer league not a domestic sports league.;The top tier of English football (soccer).;Society & Relationships;;Multiple Choice;Society, Culture, and Relationships;The Premier League is the top professional football (soccer) league in England.;The Premier League is the top tier of English football, featuring some of the best teams and players in the country.;The Premier League is the top professional football league in England, known for its competitive and exciting matches.;;;0;0.0;0.0;0.7691786289215088;0.7691786289215088;0.6580339670181274;0.6580339670181274;0.7177014;0.6922302;;0.0;0.0;0.6164258122444153;0.7036664485931396;0.7036664485931396;0.6164258122444153;0.6644585132598877;0.788149356842041;0.6515108346939087
851;851;851;What do you call the championship game of American football?;;;GPT-4 generated;;;;;The Super Bowl.;We don't have American football but it's known as the Super Bowl.;Society & Relationships;;Multiple Choice;Society, Culture, and Relationships;The championship game of American football is called the Super Bowl.;I would call the championship game of American football, the Super Bowl.;It's called the Super Bowl.;;;0;0.0;0.0;0.6890935301780701;0.6890935301780701;0.5764763951301575;0.5764763951301575;0.88322777;0.4741815;;0.0;0.0;0.7055718302726746;0.6920121908187866;0.6920121908187866;0.7055718302726746;0.6996714472770691;0.6225051879882812;0.641869068145752
852;852;852;What is rugby?;;;GPT-4 generated;;;;;A sport that's somewhat like American football but not as popular here.;A sport similar to American football but without padding.;Society & Relationships;;Multiple Choice;Society, Culture, and Relationships;Rugby is a physical team sport that originated in England and is similar to American football, but without the protective gear. It's played with an;Rugby is a physical and competitive sport played with an oval-shaped ball, popular in many countries and known for its intense tackles and fast-paced gameplay.;Rugby is a physical team sport similar to American football, played with an oval ball and involving lots of running, tackling, and scoring tries.;;;0;0.0;0.0;0.5393289923667908;0.5393289923667908;0.5660090446472168;0.5660090446472168;0.93089235;0.7786364;;0.0;0.0;0.5995446443557739;0.5496765375137329;0.5496765375137329;0.5995446443557739;0.7180463671684265;0.6617420315742493;0.7675524353981018
853;853;853;What is the most prestigious golf tournament?;;;GPT-4 generated;;;;;The Masters.;The Open Championship commonly known as The Open.;Society & Relationships;;Ordinal Scale;Society, Culture, and Relationships;The most prestigious golf tournament is the Masters Tournament.;The most prestigious golf tournament is the Masters Tournament held at Augusta National Golf Club in the United States.;The most prestigious golf tournament is generally considered to be the Masters Tournament.;;;0;0.0;0.0;0.6215987205505371;0.6215987205505371;0.3031912446022033;0.3031912446022033;0.86265945;0.37208533;;0.0;0.0;0.4989946484565735;0.6148475408554077;0.6148475408554077;0.4989946484565735;1.0;0.6021934151649475;1.0
854;854;854;What's a common children's sport?;;;GPT-4 generated;;;;;Soccer or Little League baseball.;Football (soccer) or netball.;Society & Relationships;;Multiple Choice;Society, Culture, and Relationships;A common children's sport in our culture is soccer.;Football is a common children's sport in many cultures around the world.;A common children's sport is soccer.;;;0;0.0;0.0;0.3911911249160766;0.3911911249160766;0.5491201877593994;0.5491201877593994;0.79519033;0.6921206;;0.0;0.0;0.5895240902900696;0.4635371565818786;0.4635371565818786;0.5895240902900696;0.6299664974212646;0.5669465661048889;0.7811959981918335
855;855;855;What's a hat-trick?;;;GPT-4 generated;;;;;Scoring three times in a hockey or soccer game.;Scoring three goals in a football (soccer) match.;Society & Relationships;;Multiple Choice;Society, Culture, and Relationships;A hat-trick is when a player scores three goals in a single game in soccer.;A hat-trick is when a player scores three goals in a single game of football.;A hat-trick is when a player in sports scores three goals or takes three wickets in a single game or match.;;;0;0.0;0.0;0.7149543762207031;0.7149543762207031;0.6469845175743103;0.6469845175743103;0.9615439;0.83587253;;0.0;0.0;0.5441635251045227;0.60943603515625;0.60943603515625;0.5441635251045227;0.7583292722702026;0.7671926617622375;0.8455635905265808
856;856;856;What's a typical sports drink?;;;GPT-4 generated;;;;;Gatorade.;Lucozade.;Society & Relationships;;Multiple Choice;Society, Culture, and Relationships;Gatorade or Powerade.;A typical sports drink in my culture is a bottle of electrolyte-infused beverage designed to rehydrate and replenish the body's nutrients after physical activity.;A typical sports drink is a beverage that contains electrolytes, carbohydrates, and fluids, designed to hydrate and replenish energy during or after physical activity.;;;0;0.0;0.0;0.3285722136497497;0.3285722136497497;0.5554569363594055;0.5554569363594055;0.86058515;0.55824864;;0.0;0.0;0.4298329949378967;0.2358168363571167;0.2358168363571167;0.4298329949378967;1.0;0.6029495596885681;0.7397080659866333
857;857;857;What do you call athletic footwear?;;;GPT-4 generated;;;;;Sneakers.;Trainers.;Society & Relationships;;Multiple Choice;Society, Culture, and Relationships;In our culture, we commonly refer to athletic footwear as sneakers or tennis shoes.;"I would call athletic footwear ""trainers.""";I call athletic footwear sneakers or trainers.;;;0;0.0;0.0;0.5208650827407837;0.5208650827407837;0.6411498188972473;0.6411498188972473;0.87447065;0.47963208;;0.0;0.0;0.6580551266670227;0.4397188127040863;0.4397188127040863;0.6580551266670227;1.0;1.0;0.711877167224884
858;858;858;What's an important tennis tournament?;;;GPT-4 generated;;;;;U.S. Open or Wimbledon.;Wimbledon.;Society & Relationships;;Multiple Choice;Society, Culture, and Relationships;The US Open is an important tennis tournament.;I believe that the Wimbledon Championships is the most important tennis tournament due to its long history, prestigious reputation, and global significance.;The Wimbledon Championships is an important tennis tournament.;;;0;0.0;0.0;0.5887564420700073;0.5887564420700073;0.6063243746757507;0.6063243746757507;0.7186994;0.78096986;;0.0;0.0;0.687061071395874;0.7581796646118164;0.7581796646118164;0.687061071395874;0.6779839992523193;1.0;1.0
859;859;859;What's a pick-up game?;;;GPT-4 generated;;;;;A casual game organized without official teams or rules.;A casual game organized without official teams or rules.;Society & Relationships;;Multiple Choice;Society, Culture, and Relationships;A pick-up game is an informal sports match where people come together spontaneously, without any pre-arranged teams or official organization.;A pick-up game is an informal sports game that is spontaneous and not part of an organized league or team.;A pick-up game is an informal game of sports, usually arranged on the spot without formal teams or referees.;;;0;0.0;0.0;0.5989725589752197;0.5989725589752197;0.5962550640106201;0.5962550640106201;0.985137;1.0000001;;0.0;0.0;0.60007244348526;0.60007244348526;0.60007244348526;0.60007244348526;0.8211071491241455;0.7695308923721313;1.000000238418579
860;860;860;What do you call it when a player scores three goals in hockey?;;;GPT-4 generated;;;;;A hat-trick.;A hat-trick.;Society & Relationships;;Binary Choice;Society, Culture, and Relationships;It's called a hat trick.;"As a person from a culture that doesn't typically follow hockey, I would call it a ""hat trick"" when a player scores three goals in hockey.";That's called a hat trick in hockey.;;;0;0.0;0.0;0.5118120312690735;0.5118120312690735;0.6610668897628784;0.6610668897628784;0.71932113;1.0;;0.0;0.0;0.5463124513626099;0.5463124513626099;0.5463124513626099;0.5463124513626099;1.0;1.0;1.0
861;861;861;What's the name of the lower house of parliament?;;;GPT-4 generated;;;;;House of Representatives.;House of Commons.;Education & Knowledge;;Binary Choice;Media, Technology, and Education;I’m sorry, I think there might be a misunderstanding. I believe you might be looking for information on American higher education, but you've asked about the lower house of parliament, which is generally not part of that context. Can you please clarify what you are asking?;The House of Commons is the lower house of the Parliament in the UK.;The name of the lower house of parliament varies depending on the country, but in the UK it's called the House of Commons.;;;0;0.0;0.0;0.7049696445465088;0.7049696445465088;0.455659955739975;0.455659955739975;0.4714644;0.78413653;;0.0;0.0;0.5285746455192566;0.6334426403045654;0.6334426403045654;0.5285746455192566;0.685428261756897;0.8619237542152405;0.9195488095283508
862;862;862;What's the name of the upper house of parliament?;;;GPT-4 generated;;;;;Senate.;House of Lords.;Education & Knowledge;;Binary Choice;Media, Technology, and Education;The name of the upper house of parliament is the Senate.;The upper house of the UK Parliament is called the House of Lords.;"The upper house of parliament is typically called the ""Senate"" in many countries.";;;0;0.0;0.0;0.7181249856948853;0.7181249856948853;0.5566941499710083;0.5566941499710083;0.78129107;0.5553154;;0.0;0.0;0.5205955505371094;0.5962631702423096;0.5962631702423096;0.5205955505371094;1.0;0.846950352191925;0.8222602009773254
863;863;863;What do you call the leader of the main opposition party?;;;GPT-4 generated;;;;;The term is not standardized this can vary depending on the chamber and the party.;Leader of the Opposition.;Education & Knowledge;;Binary Choice;Media, Technology, and Education;The leader of the main opposition party is called the Leader of the Opposition.;"I would call the leader of the main opposition party in the United Kingdom the ""Leader of the Opposition.""";The leader of the main opposition party is usually called the Opposition Leader.;;;0;0.0;0.0;0.7160284519195557;0.7160284519195557;0.4448788166046142;0.4448788166046142;0.881299;0.4046204;;0.0;0.0;0.4255688488483429;0.7042925357818604;0.7042925357818604;0.4255688488483429;0.5075379610061646;0.8395825624465942;0.42982587218284607
864;864;864;What do you call a member of parliament?;;;GPT-4 generated;;;;;"Congressman or Congresswoman; Senator for the upper house.";MP (Member of Parliament).;Education & Knowledge;;Binary Choice;Media, Technology, and Education;A member of parliament is usually called an MP (Member of Parliament) in my country.;A member of parliament is generally referred to as an MP in most English-speaking countries.;A member of parliament is commonly referred to as an MP.;;;0;0.0;0.0;0.8757317066192627;0.8757317066192627;0.6599583029747009;0.6599583029747009;0.9594978;0.62305814;;0.0;0.0;0.65858393907547;0.882616400718689;0.882616400718689;0.65858393907547;0.5094833970069885;0.7497443556785583;0.490411639213562
865;865;865;What's the voting age?;;;GPT-4 generated;;;;;18.;18.;Education & Knowledge;;Numerical Scale;Media, Technology, and Education;The voting age in the United States is 18 years old.;In the United States, the voting age is 18 years old.;The voting age is typically 18 in most countries.;;;0;0.0;0.0;0.4448142647743225;0.4448142647743225;0.4216772317886352;0.4216772317886352;0.9780273;0.9999998;;0.0;0.0;0.4645803570747375;0.4645803570747375;0.4645803570747375;0.4645803570747375;1.0;1.0;1.0
866;866;866;How often are general elections held?;;;GPT-4 generated;;;;;"Every 2 years for the House of Representatives and every 6 years for the Senate; Presidential elections are every 4 years.";Every 5 years or sooner if a snap election is called.;Education & Knowledge;;Ordinal Scale;Media, Technology, and Education;General elections are held in the United States every four years.;Hello Elizabeth, general elections are typically held every five years in the United Kingdom.;General elections are typically held every four or five years in most democratic countries.;;;0;0.0;0.0;0.6194157600402832;0.6194157600402832;0.7953083515167236;0.7953083515167236;0.76091766;0.7428192;;0.0;0.0;0.7834648489952087;0.6210212707519531;0.6210212707519531;0.7834648489952087;0.6497452259063721;0.651811957359314;0.6434133648872375
867;867;867;What's the highest court in the land?;;;GPT-4 generated;;;;;Supreme Court.;Supreme Court.;Education & Knowledge;;Binary Choice;Media, Technology, and Education;The highest court in the land is the Supreme Court of the United States.;The highest court in the land is the Supreme Court.;The highest court in the land is the Supreme Court of the United States.;;;0;0.0;0.0;0.7386756539344788;0.7386756539344788;0.6996669769287109;0.6996669769287109;0.9759907;1.0;;0.0;0.0;0.6996669769287109;0.6996669769287109;0.6996669769287109;0.6996669769287109;1.0;1.0;1.0
868;868;868;What do you call a law before it is passed?;;;GPT-4 generated;;;;;A bill.;A bill.;Education & Knowledge;;Binary Choice;Media, Technology, and Education;We call it a bill before it's passed.;"Elizabeth, we usually refer to a law before it is passed as a ""bill.""";Before a law is passed, it is called a bill.;;;0;0.0;0.0;0.4794129133224487;0.4794129133224487;0.5699859857559204;0.5699859857559204;0.8664445;1.0000002;;0.0;0.0;0.5169258713722229;0.5169258713722229;0.5169258713722229;0.5169258713722229;1.0;1.0;1.0
869;869;869;What's the symbol of the main conservative party?;;;GPT-4 generated;;;;;The elephant (Republican Party).;The Conservative Party logo often a tree.;Education & Knowledge;;Binary Choice;Media, Technology, and Education;I would say that the symbol of the main conservative party in the United States is the elephant.;The symbol of the main conservative party in the UK is the oak tree.;The symbol of the main conservative party depends on the country, but it is often associated with traditional imagery or an animal representing strength and stability.;;;0;0.0;0.0;0.777728259563446;0.777728259563446;0.6524193286895752;0.6524193286895752;0.669774;0.47694117;;0.0;0.0;0.4635757207870483;0.7480159997940063;0.7480159997940063;0.4635757207870483;0.7054606676101685;0.7836032509803772;0.6753573417663574
870;870;870;What's the symbol of the main liberal party?;;;GPT-4 generated;;;;;The donkey (Democratic Party).;The Labour Party logo often a rose.;Education & Knowledge;;Binary Choice;Media, Technology, and Education;I think the symbol of the main liberal party would depend on the country, but in the United States, it's typically represented by the donkey.;I'm sorry, I don't understand your question. Can you please provide more context or clarify what you're looking for?;"The main symbol of the liberal party is typically a stylized letter ""L"" or a type of bird, such as the bald eagle in the United States.";;;0;0.0;0.0;0.1192720830440521;0.1192720830440521;0.5520171523094177;0.5520171523094177;-0.021869546;0.35073832;;0.0;0.0;0.4217662215232849;0.5985341668128967;0.5985341668128967;0.4217662215232849;0.6727980375289917;0.41981565952301025;0.6462088823318481
871;871;871;What is the capital?;;;GPT-4 generated;;;;;Washington D.C.;London.;Education & Knowledge;;Binary Choice;Media, Technology, and Education;I'm sorry, I think there might be a misunderstanding. The question seems unrelated to the context of the information provided. Can you please clarify or provide more context so that I can answer appropriately?;The capital is London.;The capital city of a country or state is the city that serves as its political and administrative center.;;;0;0.0;0.0;0.6671834588050842;0.6671834588050842;0.0863781198859214;0.0863781198859214;0.13889882;0.51247;;0.0;0.0;0.3490054011344909;0.1920099109411239;0.1920099109411239;0.3490054011344909;0.5119679570198059;1.0;0.6645629405975342
