;uk_usage; us_usage
206;(round) brackets; parentheses
0;aeroplane; airplane
194;Alsatian; German shepherd
195;American Indian; Native American
93;analogue; analog
124;anti-clockwise; counter-clockwise
94;armour; armor
125;articulated lorry; trailer truck
196;aubergine; eggplant
126;autumn; fall
95;axe; ax
127;barrister; attorney
197;base rate; prime rate
199;beetroot; beet
96;behaviour; behavior
200;bill; check
35;biro; ballpoint pen
201;biro; ball-point pen
1;biscuit; cookie
128;biscuit; cookie
36;bleep; beep
129;block of flats; apartment building
37;bobby; cop
203;bonnet; hood
131;bonnet (clothing); hat
2;boot; trunk
133;bottom; backside
3;braces; suspenders
38;brolly; umbrella
39;building society; loan association
40;bullnose; nosing
97;cancelled; canceled
207;candy floss; cotton candy
4;car park; parking lot
42;caravan; trailer
44;caretaker; janitor
45;cashpoint; ATM
211;catalogue; catalog
98;centre; center
5;chemist; pharmacy
99;cheque; check
7;chips; french fries
8;cinema; movie theater
46;cling film; plastic wrap
47;cloakroom; restroom
137;clothes peg; clothespin
138;coffin; coffin
100;colour; color
9;cooker; stove
48;coriander; cilantro
49;cornflour; cornstarch
216;cosy; cozy
217;cotton wool; cotton ball
50;courgette; zucchini
10;crisps; potato chips
140;cupboard;" cupboard (in kitchen); closet (for clothes etc)"
219;curriculum vitae (CV); résumé
101;defence; defense
51;diversion; detour
52;dodgem; bumper car
222;double cream; heavy cream
53;doughnut; donut
223;draught; draft
224;draughts; checkers
54;drawing pin; pushpin
143;drink-driving; drunk driving
144;driving licence; driver's license
55;dual carriageway; divided highway
226;dummy; pacifier
11;dustbin; trash can
56;dustcart; garbage truck
147;dustman; garbage collector
227;duvet; comforter
228;earth wire; ground wire
102;endeavour; endeavor
229;engaged; busy
230;enquiry; inquiry
148;estate agent; real estate agent
149;estate car; station wagon
231;expiry date; expiration date
232;fancy dress; costumes
233;Father Christmas; Santa Claus
103;favour; favor
234;favourite; favorite
104;fibre; fiber
57;filing cabinet; file cabinet
235;fire brigade; fire department
12;flat; apartment
150;flat tyre; flat tire
105;flavour; flavor
58;flyover; overpass
13;football; soccer
59;fortnight; two weeks
240;fringe; bangs
241;full stop; period
14;garden; yard
243;gear lever; gear shift
153;gearbox (car); transmission
61;gobsmacked; astonished
244;goods train; freight train
106;grey; gray
245;harbour; harbor
154;high street; main street
62;hoarding; billboard
247;hockey; field hockey
248;holiday; vacation
107;honour; honor
156;hood (car); convertible top
249;hoover; vacuum cleaner
250;humour; humor
63;ice lolly; popsicle
64;jam; jelly
251;jewellery; jewelry
65;jug; kettle
157;juggernaut;18-wheeler
252;jumper; sweater
253;kilometre; kilometer
66;kitchen roll; paper towel
67;knackered; exhausted
109;labour; labor
254;ladybird; ladybug
255;lift; elevator
256;litre; liter
159;loo (informal); bathroom
257;lorry; truck
258;mackintosh; raincoat
160;main road; highway
161;maize; corn
259;match; game
162;maths; math
111;metre; meter
70;mince; ground meat
261;motorbike; motorcycle
262;mum; mom
164;nappy; diaper
165;naughts and crosses; tic-tack-toe
112;neighbour; neighbor
71;nought; zero
72;off-licence; liquor store
113;organise; organize
73;parcel; package
166;pavement; sidewalk
167;pet hate; pet peeve
21;petrol; gas
74;plaster; band-aid
114;plough; plow
168;pocket money; allowance
169;post; mail
170;postbox; mailbox
171;postcode; zip code
76;pram; stroller
115;programme; program
77;pub; bar
78;puncture; flat tire
116;pyjamas; pajamas
79;queue; line
173;railway; railroad
117;realise; realize
174;return (ticket); round-trip
175;reverse charge; collect call
80;ring; call
24;roundabout; traffic circle
176;rubber; eraser
25;rubbish; trash
177;saloon (car); sedan
118;savour; savor
81;sellotape; scotch tape
178;silencer (car); muffler
179;single (ticket); one-way
83;skip; dumpster
82;skirting board; baseboard
84;sledge; sled
85;spanner; wrench
119;specialise; specialize
86;swede; rutabaga
181;sweets; candy
87;takeaway; takeout
27;tap; faucet
182;tea towel; dish towel
120;theatre; theater
183;third-party insurance; liability insurance
184;timetable; schedule
185;tin; can
198;to bath; to bathe
246;to hire; to rent
89;toffee; caramel
186;torch; flashlight
121;travelling; traveling
90;trolley; cart
29;trousers; pants
30;tube; subway
187;tube (train); subway
122;tyre; tire
188;underground (train); subway
123;vapour; vapor
189;vest; undershirt
32;waistcoat; vest
91;washing up; doing the dishes
92;whinge; whine
191;whisky; whisky/whiskey
192;windscreen; windshield
34;zed; zee
193;zip; zipper
