"question","answer_uk","answer_us"
"When it comes to Germany’s decision-making in the European Union, do you think Germany has too much influence, has too little influence or has about the right amount of influence?","Has about the right amount of influence","Has too much influence"
"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ____ b. Moderate Party.","DK/Refused","Somewhat favorable"
"Which statement comes closer to your own views, even if neither is exactly right?","Relying too much on military force to defeat terrorism creates hatred that leads to more terrorism","Using overwhelming military force is the best way to defeat terrorism around the world"
"Do you think China will replace the U.S. as the world's leading superpower in the next 10 years, the next 20 years, the next 50 years, or do you think China will not replace the U.S. as the world's leading superpower?","China will not replace U.S.","China will not replace U.S."
"In your opinion, how strong a sense of Islamic identity do Muslims in our country have--very strong, fairly strong, not too strong, or not strong at all?","Fairly strong","Very strong"
"Please tell me if you approve or disapprove of the way Prime Minister Viktor Orbán is handling each of the following areas. b. the refugee issue.","Disapprove","Disapprove"
"And thinking about some political leaders and organizations in our country, please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of Rachid Ghannouchi.","DK/Refused","Somewhat unfavorable"
"Please tell me which of the following is closest to your own opinion. Less inefficient large enterprises is helpful for economic improvement OR Less inefficient large enterprises is not helpful for economic development.","Less inefficient large enterprises is helpful for economic improvement","Less inefficient large enterprises is helpful for economic improvement"
"Now I am going to read you a list of things that may be problems in our country.  As I read each one, please tell me if you think it is a very big problem, a moderately big problem, a small problem or not a problem at all...Air pollution.","Moderately big problem","Moderately big problem"
"Please tell me how worried you are about each of the following issues related to Muslims living in your country...extremism among Muslims...Are you very worried, somewhat worried, not too worried, or not at all worried about extremism among Muslims?","Somewhat worried","Very worried"
"Thinking about our relations with China, in your view, which is more important - being tough with China on territorial disputes between China and our country OR having a strong economic relationship with China?","Having a strong economic relationship with China","Being tough with China on territorial disputes"
"Do you think this change in the working conditions for ordinary workers is largely because of the way the world has become more connected or mostly for other reasons?","Other reasons","Largely more connected"
"Do you think that using military force against countries that may seriously threaten our country, but have not attacked us, can often be justified, sometimes be justified, rarely be justified, or never be justified?","Rarely be justified","Sometimes be justified"
"On the subject of Iraq, did your country make the right decision or the wrong decision to use military force against Iraq?","Wrong decision","Wrong decision"
"Do you think the U.S. should keep military troops in Iraq until the situation has stabilized, or do you think the U.S. should remove its troops as soon as possible?","Remove its troops","Keep troops in Iraq"
"Do you approve or disapprove of the way President Vladimir Putin is handling each of the following areas? c. civil society.","Disapprove","Disapprove"
"I'm going to read you a list of issues that human rights organizations in your country might work on. As I read each one, please tell me how much of a priority you think it should be for these organizations - a top priority, important but lower priority, not too important or should human rights organizations in your country not work on this issue. h. ensuring that elections are conducted freely and fairly.","Top priority","Top priority"
"Please tell me if you think the PRI, the PAN, or the PRD party could do a better job in each of the following areas. Which party could do a better job of dealing with corruption?","DK/Refused","None (VOL)"
"Do you personally believe that drinking alcohol is morally acceptable, morally unacceptable, or is it not a moral issue?","Morally acceptable","Morally acceptable"
"I am going to read you the same list.  Does...you can openly say what you think and can criticize the (state or government)...describe our country very well, somewhat well, not too well or not well at all?", "Very well", "Very well"
"As I read a list of groups and organizations, please tell me how good a job each has done in responding to the impact of the March 11th earthquake and tsunami...Prime Minister Naoto Kan.", "Somewhat poor", "Somewhat poor"
"Here is a list of three dangers in the world today.  In your opinion, which one of these poses the greatest threat to the world?", "Pollution and other environmental problems", "Pollution and other environmental problems"
"Do you think Arabs and blacks in North Africa can live peacefully together or don't you think so?", "Can live together", "Can live together"
"What kind of influence is…acting President Oleksandr Turchynov...having on the way things are going in Ukraine?", "Somewhat bad", "Somewhat bad"
"How satisfied are you with the way democracy is working in our country?", "Somewhat satisfied", "Not too satisfied"
"For each, tell me how much confidence you have in each leader to do the right thing regarding world affairs – a lot of confidence, some confidence, not too much confidence, or no confidence at all. h. Hungarian Prime Minister Viktor Orban.", "Not too much confidence", "No confidence at all"
"Has each of the following gotten better or worse over the last five years in our country: the gap between rich and poor people.", "Worse", "Worse"
"Would you say that each of the following is doing a very good, somewhat good, somewhat bad, or very bad job dealing with global climate change? b. the public.", "Somewhat bad job", "Somewhat bad job"
"Thinking about possible war with Iraq, would you favor or oppose your country's joining the US and other allies in military action in Iraq to end Saddam Hussein's rule?", "Oppose", "Favor"
"(Now/And thinking about the American people...) Which of these characteristics do you associate with the American people?...Competitive...", "Yes", "Yes"
"Now I'd like to ask your views about some additional political leaders. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of Turkish Prime Minister Tayyip Erdogan?","Somewhat unfavorable","Very unfavorable"
"Now I am going to read you a list of things that may be problems in our country.  As I read each one, please tell me if you think it is a very big problem, a moderately big problem, a small problem or not a problem at all...Indian influence in Afghanistan.","Small problem","Not a problem at all"
"For each statement, please tell me whether you completely agree with it, mostly agree with it, mostly disagree with it or completely disagree with it...Russia/Lithuania should be for Russians/Lithuanians.", "Mostly disagree", "Completely disagree"
"I’d like your opinion about some possible international concerns. Do you think that ____ is a major threat, a minor threat or not a threat to your country? e. the Islamic militant group in Iraq and Syria known as ISIS.", "Major threat", "Major threat"
"Do you think the government of Ukraine respects the personal freedoms of its people, or don’t you think so?","No, does not respect personal freedoms","No, does not respect personal freedoms"
"Now I am going to read you a list of things that may be problems in our country.  As I read each one, please tell me if you think it is a very big problem, a moderately big problem, a small problem or not a problem at all...Drug cartel-related violence.","Moderately big problem","Very big problem"
"How serious of a threat is the Taliban to our country?","Somewhat serious threat","Very serious threat"
