1. D. Politics and policy
2. D. Politics and policy
3. D. Politics and policy
4. G. International affairs
5. B. Religion and spirituality
6. D. Politics and policy
7. D. Politics and policy
8. N. Economy and work
9. C. Science and technology
10. D. Politics and policy
11. G. International affairs
12. N. Economy and work
13. D. Politics and policy
14. D. Politics and policy
15. D. Politics and policy
16. D. Politics and policy
17. D. Politics and policy
18. D. Politics and policy
19. A. Social values and attitudes
20. D. Politics and policy
21. D. Politics and policy
22. C. Science and technology
23. M. Race and ethnicity
24. D. Politics and policy
25. D. Politics and policy
26. N. Economy and work
27. C. Science and technology
28. D. Politics and policy
29. A. Social values and attitudes
30. D. Politics and policy
31. G. International affairs
32. M. Race and ethnicity
33. D. Politics and policy
34. D. Politics and policy
35. D. Politics and policy
36. D. Politics and policy
37. Q. Security
38. Q. Security
39. J. News habits and media
40. D. Politics and policy
41. D. Politics and policy
42. D. Politics and policy
43. D. Politics and policy
44. A. Social values and attitudes
45. D. Politics and policy
46. G. International affairs
47. C. Science and technology
48. A. Social values and attitudes
1. H. Internet and technology
2. J. News habits and media
3. D. Politics and policy
4. O. Regions and countries
5. D. Politics and policy
6. A. Social values and attitudes
7. G. International affairs
8. J. News habits and media
9. O. Regions and countries
10. B. Religion and spirituality
11. D. Politics and policy
12. O. Regions and countries
13. D. Politics and policy
14. C. Science and technology
15. D. Politics and policy
16. Q. Security
17. D. Politics and policy
18. N. Economy and work
19. Q. Security
20. O. Regions and countries
21. G. International affairs
22. D. Politics and policy
23. D. Politics and policy
24. K. Immigration and migration
25. D. Politics and policy
26. N. Economy and work
27. D. Politics and policy
28. D. Politics and policy
29. O. Regions and countries
30. G. International affairs
31. D. Politics and policy
32. Q. Security
33. G. International affairs
34. Q. Security
35. G. International affairs
36. K. Immigration and migration
37. D. Politics and policy
38. M. Race and ethnicity
39. O. Regions and countries
40. N. Economy and work
41. D. Politics and policy
42. D. Politics and policy
43. D. Politics and policy
44. A. Social values and attitudes
45. D. Politics and policy
46. B. Religion and spirituality
47. D. Politics and policy
48. D. Politics and policy
49. D. Politics and policy
50. G. International affairs

