source_uk;source_us;category;question;answer_uk;answer_us
GPT-4 generated;GPT-4 generated;Miscellaneous;What's the first floor of a building?;The first floor is the floor above the ground floor.;The first floor is the ground floor.
GPT-4 generated;GPT-4 generated;Miscellaneous;What do you call the rear compartment of a car?;The boot.;The trunk.
GPT-4 generated;GPT-4 generated;Miscellaneous;What do you call the front part of the car where the engine is located?;The bonnet.;The hood.
GPT-4 generated;GPT-4 generated;Miscellaneous;What's a biscuit?;A sweet baked item similar to what Americans would call a cookie.;A soft leavened bread product often served with gravy or butter.
GPT-4 generated;GPT-4 generated;Miscellaneous;What do you call the long seat in a park?;A bench.;Usually a bench as well but sometimes also referred to as a 'park bench' to specify.
GPT-4 generated;GPT-4 generated;Miscellaneous;What are chips?;Thin slices of potato that are fried and served hot similar to what Americans call fries.;Thin crisp slices of potato that are usually eaten cold similar to what Brits call crisps.
GPT-4 generated;GPT-4 generated;Miscellaneous;What do you call the paper you write your school essay on?;A4 paper.;Letter-size paper.
GPT-4 generated;GPT-4 generated;Miscellaneous;What's a jumper?;A knitted garment worn over a shirt a sweater.;A one-piece garment for a child or a pinafore dress for women.
GPT-4 generated;GPT-4 generated;Miscellaneous;What do you call a large road that you can drive fast on?;A motorway.;A freeway or interstate.
GPT-4 generated;GPT-4 generated;Miscellaneous;What do you do when you see a zebra crossing?;Stop to let pedestrians cross the road.;We don't have 'zebra crossings' we have crosswalks and you should stop to let pedestrians cross.
GPT-4 generated;GPT-4 generated;Miscellaneous;How do you spell the color that is a mix of black and white?;Grey.;Gray.
GPT-4 generated;GPT-4 generated;Miscellaneous;What's a lorry?;A large vehicle for transporting goods what Americans call a truck.;We don't use the term 'lorry' we call it a truck.
GPT-4 generated;GPT-4 generated;Miscellaneous;What do you call the device that heats water for your home?;Boiler.;Water heater.
GPT-4 generated;GPT-4 generated;Miscellaneous;What do you call the last letter of the alphabet?;Zed.;Zee.
GPT-4 generated;GPT-4 generated;Miscellaneous;What do you call the medical specialty related to pregnancy and childbirth?;Obstetrics or sometimes 'obstetrics and gynaecology.';Obstetrics or 'obstetrics and gynecology' with the American spelling.
GPT-4 generated;GPT-4 generated;Miscellaneous;What is a flat?;A unit in a multi-unit building what Americans call an apartment.;We don't use 'flat' we call it an apartment.
GPT-4 generated;GPT-4 generated;Miscellaneous;How do you refer to university?;I'm going to university.;I'm going to college.
GPT-4 generated;GPT-4 generated;Miscellaneous;What do you call the end-of-year exams in high school?;GCSEs or A-levels depending on the age.;Finals or sometimes SATs/ACTs for college entrance exams.
GPT-4 generated;GPT-4 generated;Miscellaneous;What do you call a baby's pacifier?;Dummy.;Pacifier.
GPT-4 generated;GPT-4 generated;Miscellaneous;What's a courgette?;A green vegetable also known as zucchini in the US.;We call it zucchini.
GPT-4 generated;GPT-4 generated;Sports & Recreation;What's the national sport?;Cricket or football (soccer).;Baseball or American football.
GPT-4 generated;GPT-4 generated;Sports & Recreation;What's the most popular weekend sport activity?;Watching football (soccer).;Watching American football.
GPT-4 generated;GPT-4 generated;Sports & Recreation;What do you call a game with a bat and ball where you run between wickets?;Cricket.;We don't have a popular sport like that closest is baseball.
GPT-4 generated;GPT-4 generated;Sports & Recreation;What is 'March Madness'?;Not a common term it relates to American college basketball.;A college basketball tournament held in March.
GPT-4 generated;GPT-4 generated;Sports & Recreation;What's the Premier League?;The top tier of English football (soccer).;A European soccer league not a domestic sports league.
GPT-4 generated;GPT-4 generated;Sports & Recreation;What do you call the championship game of American football?;We don't have American football but it's known as the Super Bowl.;The Super Bowl.
GPT-4 generated;GPT-4 generated;Sports & Recreation;What is rugby?;A sport similar to American football but without padding.;A sport that's somewhat like American football but not as popular here.
GPT-4 generated;GPT-4 generated;Sports & Recreation;What is the most prestigious golf tournament?;The Open Championship commonly known as The Open.;The Masters.
GPT-4 generated;GPT-4 generated;Sports & Recreation;What's a common children's sport?;Football (soccer) or netball.;Soccer or Little League baseball.
GPT-4 generated;GPT-4 generated;Sports & Recreation;What's a hat-trick?;Scoring three goals in a football (soccer) match.;Scoring three times in a hockey or soccer game.
GPT-4 generated;GPT-4 generated;Sports & Recreation;What's a typical sports drink?;Lucozade.;Gatorade.
GPT-4 generated;GPT-4 generated;Sports & Recreation;What do you call athletic footwear?;Trainers.;Sneakers.
GPT-4 generated;GPT-4 generated;Sports & Recreation;What's an important tennis tournament?;Wimbledon.;U.S. Open or Wimbledon.
GPT-4 generated;GPT-4 generated;Sports & Recreation;What's a pick-up game?;A casual game organized without official teams or rules.;A casual game organized without official teams or rules.
GPT-4 generated;GPT-4 generated;Sports & Recreation;What do you call it when a player scores three goals in hockey?;A hat-trick.;A hat-trick.
GPT-4 generated;GPT-4 generated;Politics;What's the name of the lower house of parliament?;House of Commons.;House of Representatives.
GPT-4 generated;GPT-4 generated;Politics;What's the name of the upper house of parliament?;House of Lords.;Senate.
GPT-4 generated;GPT-4 generated;Politics;What do you call the leader of the main opposition party?;Leader of the Opposition.;The term is not standardized this can vary depending on the chamber and the party.
GPT-4 generated;GPT-4 generated;Politics;What do you call a member of parliament?;MP (Member of Parliament).;"Congressman or Congresswoman; Senator for the upper house."
GPT-4 generated;GPT-4 generated;Politics;What's the voting age?;18.;18.
GPT-4 generated;GPT-4 generated;Politics;How often are general elections held?;Every 5 years or sooner if a snap election is called.;"Every 2 years for the House of Representatives and every 6 years for the Senate; Presidential elections are every 4 years."
GPT-4 generated;GPT-4 generated;Politics;What's the highest court in the land?;Supreme Court.;Supreme Court.
GPT-4 generated;GPT-4 generated;Politics;What do you call a law before it is passed?;A bill.;A bill.
GPT-4 generated;GPT-4 generated;Politics;What's the symbol of the main conservative party?;The Conservative Party logo often a tree.;The elephant (Republican Party).
GPT-4 generated;GPT-4 generated;Politics;What's the symbol of the main liberal party?;The Labour Party logo often a rose.;The donkey (Democratic Party).
GPT-4 generated;GPT-4 generated;Politics;What is the capital?;London.;Washington D.C.
GPT-4 generated;GPT-4 generated;Politics;What's a lobbyist?;Someone hired to influence lawmakers on behalf of an organization.;Someone hired to influence lawmakers on behalf of an organization.
GPT-4 generated;GPT-4 generated;Politics;What's the official name of the country?;United Kingdom of Great Britain and Northern Ireland.;United States of America.
GPT-4 generated;GPT-4 generated;Food & Drink;What's a common breakfast item?;Toast with butter or marmalade or a Full English Breakfast.;Pancakes scrambled eggs or cereal.
GPT-4 generated;GPT-4 generated;Food & Drink;What's a typical sandwich?;Cheese and pickle or egg and cress.;Turkey and cheese or peanut butter and jelly.
GPT-4 generated;GPT-4 generated;Food & Drink;What do you call fries?;Chips.;Fries.
