question,answer_uk,answer_us,category
"When it comes to Germany’s decision-making in the European Union, do you think Germany has too much influence, has too little influence or has about the right amount of influence?",Has about the right amount of influence,Has too much influence,D. Politics and policy
"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ____ b. Moderate Party.",DK/Refused,Somewhat favorable,D. Politics and policy
"Which statement comes closer to your own views, even if neither is exactly right?",Relying too much on military force to defeat terrorism creates hatred that leads to more terrorism,Using overwhelming military force is the best way to defeat terrorism around the world,P. Methodological research
"Do you think China will replace the U.S. as the world's leading superpower in the next 10 years, the next 20 years, the next 50 years, or do you think China will not replace the U.S. as the world's leading superpower?",China will not replace U.S.,China will not replace U.S.,O. Regions and countries
"In your opinion, how strong a sense of Islamic identity do Muslims in our country have--very strong, fairly strong, not too strong, or not strong at all?",Fairly strong,Very strong,B. Religion and spirituality
Please tell me if you approve or disapprove of the way Prime Minister Viktor Orbán is handling each of the following areas. b. the refugee issue.,Disapprove,Disapprove,K. Immigration and migration
"And thinking about some political leaders and organizations in our country, please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of Rachid Ghannouchi.",DK/Refused,Somewhat unfavorable,D. Politics and policy
Please tell me which of the following is closest to your own opinion. Less inefficient large enterprises is helpful for economic improvement OR Less inefficient large enterprises is not helpful for economic development.,Less inefficient large enterprises is helpful for economic improvement,Less inefficient large enterprises is helpful for economic improvement,N. Economy and work
"Now I am going to read you a list of things that may be problems in our country.  As I read each one, please tell me if you think it is a very big problem, a moderately big problem, a small problem or not a problem at all...Air pollution.",Moderately big problem,Moderately big problem,C. Science and technology
"Please tell me how worried you are about each of the following issues related to Muslims living in your country...extremism among Muslims...Are you very worried, somewhat worried, not too worried, or not at all worried about extremism among Muslims?",Somewhat worried,Very worried,M. Race and ethnicity
"Thinking about our relations with China, in your view, which is more important - being tough with China on territorial disputes between China and our country OR having a strong economic relationship with China?",Having a strong economic relationship with China,Being tough with China on territorial disputes,G. International affairs
Do you think this change in the working conditions for ordinary workers is largely because of the way the world has become more connected or mostly for other reasons?,Other reasons,Largely more connected,N. Economy and work
"Do you think that using military force against countries that may seriously threaten our country, but have not attacked us, can often be justified, sometimes be justified, rarely be justified, or never be justified?",Rarely be justified,Sometimes be justified,D. Politics and policy
"On the subject of Iraq, did your country make the right decision or the wrong decision to use military force against Iraq?",Wrong decision,Wrong decision,D. Politics and policy
"Do you think the U.S. should keep military troops in Iraq until the situation has stabilized, or do you think the U.S. should remove its troops as soon as possible?",Remove its troops,Keep troops in Iraq,D. Politics and policy
Do you approve or disapprove of the way President Vladimir Putin is handling each of the following areas? c. civil society.,Disapprove,Disapprove,D. Politics and policy
"I'm going to read you a list of issues that human rights organizations in your country might work on. As I read each one, please tell me how much of a priority you think it should be for these organizations - a top priority, important but lower priority, not too important or should human rights organizations in your country not work on this issue. h. ensuring that elections are conducted freely and fairly.",Top priority,Top priority,D. Politics and policy
