"source_uk","source_us","category","question","answer_uk","answer_us"
"","https://www.anadventurousworld.com/usa-trivia-questions/","History","Who is said to have “discovered” America in the 15th century?","","Christopher Columbus. He wasn’t the first person to discover America, but he was considered to be the first person to introduce America to western/European culture."
"","https://www.anadventurousworld.com/usa-trivia-questions/","History","In what year was America discovered?","","It was in 1492."
"","https://www.anadventurousworld.com/usa-trivia-questions/","History","What was the date for the US declaration of independence from the British empire?","","It was the 4th July 1776."
"","https://www.anadventurousworld.com/usa-trivia-questions/","Geography","By land size, what is the smallest US state?","","With only 1,045 square miles, Rhode Island is the smallest US state."
"","https://www.anadventurousworld.com/usa-trivia-questions/","History","Who was the first president to live in the White House?","","It was John Adams."
"","https://www.anadventurousworld.com/usa-trivia-questions/","Geography","What state is Mount Rushmore located in?","","South Dakota."
"","https://www.anadventurousworld.com/usa-trivia-questions/","Geography","By size, what is the largest lake in America?","","Lake Superior covers an area of 31,700 square miles."
"","https://www.anadventurousworld.com/usa-trivia-questions/","Geography","What state is also known as ‘Finlandia’?","","That’s Minnesota."
"","https://www.anadventurousworld.com/usa-trivia-questions/","History","The Statue of Liberty was a gift from which country?","","France gifted the statue to the people of the United States in 1886."
"","https://www.anadventurousworld.com/usa-trivia-questions/","Geography","How many stars are on the American flag?","","50, one for each of the 50 US states."
"","https://www.anadventurousworld.com/usa-trivia-questions/","History","What year was John F. Kennedy assassinated?","","22 November 1963 by Lee Harvey Oswald."
"","https://www.anadventurousworld.com/usa-trivia-questions/","History","Which US President was born in Hawaii in 1961?","","Barack Obama."
"","https://www.anadventurousworld.com/usa-trivia-questions/","Sports","The Baseball World Series was first contested in which year?","","It was way back in 1903."
"","https://www.anadventurousworld.com/usa-trivia-questions/","Geography","Known as ‘Motor City’ what is the actual name of this American city?","","It’s Detroit."
"","https://www.anadventurousworld.com/usa-trivia-questions/","Geography","What is the longest river in the United States?","","At 2,565 miles, the Missouri River is the longest river in the States."
"","https://www.anadventurousworld.com/usa-trivia-questions/","Geography","Which is the only US state to have one syllable in its name?","","Maine."
"","https://www.anadventurousworld.com/usa-trivia-questions/","Geography","How many territories does USA have?","","The US has 5 permanently inhabited territories."
"","https://www.anadventurousworld.com/usa-trivia-questions/","Geography","What is the tallest mountain in the US?","","At 6,194 meters (20,320 ft), Denali (also known as Mount McKinley) in Alaska is the tallest mountain in the States."
"","https://www.anadventurousworld.com/usa-trivia-questions/","Geography","What does D.C stand for in Washington D.C?","","District of Colombia."
"","https://www.anadventurousworld.com/usa-trivia-questions/","Animals","What is the national animal of the USA?","","Technically there are 2. The American bald eagle is the national bird, and recently in 2016 the bison was added as the national mammal."
"","https://www.anadventurousworld.com/usa-trivia-questions/","History","What was the name of New York before it was officially called New York?","","It was actually called New Amsterdam."
"","https://www.anadventurousworld.com/usa-trivia-questions/","Geography","What is the most populated state in America?","","That’s California with a population of 39.5 million people."
"","https://www.anadventurousworld.com/usa-trivia-questions/","Travel","What is the most popular national park in America?","","Great Smokey Mountains National Park which draws over 11 million visitors per year."
"","https://www.anadventurousworld.com/usa-trivia-questions/","History","Who was the first American to land on the moon?","","That was of course Neil Armstrong on the 24th July, 1969."
"","https://www.anadventurousworld.com/usa-trivia-questions/","History","Who did James Earl Ray assassinate in Memphis in April 1968?","","Martin Luther King."
"","https://www.anadventurousworld.com/usa-trivia-questions/","Education","What was the first school founded in the United States?","","Harvard was founded in 1636 in Cambridge, Massachusetts."
"","https://www.anadventurousworld.com/usa-trivia-questions/","Entertainment","When did Disneyland in California first open up to the public?","","That was 1955."
"","https://www.anadventurousworld.com/usa-trivia-questions/","History","Where was the first American World Fair held in 1853?","","It was in New York City."
"","https://www.anadventurousworld.com/usa-trivia-questions/","Sports","How many Super Bowls has Tom Brady won?","","Brady has won an incredible 6 Super Bowls."
"","https://www.anadventurousworld.com/usa-trivia-questions/","Food","How many pizzas do Americans eat per year?","","It’s thought that Americans consume over 3 billion pizzas in total each year."
