,question,answer_uk,answer_us,model_answer_uk,model_answer_us
1282,Do you make festive foods for celebrations?,"Yes, we make festive foods.","Yes, we make festive foods.","Yes, I make festive foods.","Yes, I make festive foods."
1170,Do you donate to political campaigns?,"No, I do not donate.","No, I do not donate.","No, I do not donate.","No, I do not donate."
1029,Do you prefer savory or sweet snacks?,"Savory snacks, no doubt about it.","Savory snacks all the way, dude!",Sweet snacks.,"Savory snacks, definitely."
1408,Do you like stand-up comedy?,"Absolutely, it's absolutely brilliant, mate!","Love it, always makes me laugh!","Yes, I enjoy stand-up comedy.","Yes, I enjoy stand-up comedy."
1005,How important is career growth to you?,"Quite important, but not everything.","Very important, key to success.",Career growth is moderately important to me.,Career growth is very important to me.
934,What's the most popular social media platform?,"It's definitely Instagram, old chap!",Instagram.,"Facebook, Instagram, and Twitter are popular.",Instagram.
847,What do you call a law before it is passed?,A bill.,A bill.,Bill.,Bill.
1169,Do you participate in protests?,"Occasionally, when it's worth it.","Sometimes, when I feel strongly.","No, I do not participate.","No, I do not participate."
1283,Do you like Secret Santa gift exchanges?,"Yes, quite jolly, good fun!","Yes, it's always so much fun!","Yes, I enjoy Secret Santa exchanges.","Yes, I enjoy Secret Santa exchanges."
1202,Do you use cleaning services?,"Yes, I do use cleaning services.","Yes, I use cleaning services.","Yes, I use cleaning services.","Yes, I use cleaning services."
1357,Do you use fitness trackers?,"Yes, I do use fitness trackers.","Yes, I use fitness trackers.","No, I do not use them.","No, I do not use them."
1506,Do family celebrations revolve around a particular meal or dish in your household?,"Yes, roast dinner on Sundays.","Yes, Thanksgiving is all about turkey.",Roast dinner with all the trimmings.,"Yes, we often have barbecues."
1276,Do you celebrate Halloween?,"Some do, some don't.","Yes, we love celebrating Halloween!","Yes, we celebrate Halloween here.","Yes, I celebrate Halloween every year."
1114,"Do you believe in date nights"" in long-term relationships?""","Absolutely, they keep the romance alive!","Yes, they keep the spark alive.","Yes, date nights are important.","Yes, date nights are important."
1031,What's your favorite type of dessert?,"Sticky toffee pudding, absolutely delightful!",Apple pie.,Scones with clotted cream and jam.,Classic apple pie with vanilla ice cream.
1196,Do you have a garden?,"Yes, I have a lovely garden.","No, I don't have a garden.","No, I do not have one.","No, I don't have a garden."
1214,"Do you prefer milk, dark, or white chocolate?","Milk chocolate, of course, darling!",Milk chocolate all the way!,Traditional English tea: Milk chocolate.,"Milk chocolate, please."
855,What do you call fries?,Chips.,French fries.,Chips.,French fries.
1106,How often do you call your family?,"Once a week, usually on Sundays.",Once or twice a week.,Once a week.,"Varies, but usually once a week."
1254,Do you have a signature scent?,"Yes, I do. It's called ""London Mist.""","No, I don't have one.","No, I do not.","No, I don't have a scent."
968,Beatles or Elvis?,"Beatles, of course, old chap!","Elvis, the King of Rock!","Beatles, of course!",Elvis. Classic American rock and roll.
1378,Do you use smart home devices?,"No, I do not use them.","Yes, I use smart home devices.","No, I do not use them.","Yes, I use smart home devices."
862,What's a common dessert?,Sticky toffee pudding with custard.,Apple pie.,Scones with clotted cream and jam.,Apple pie.
905,What do you typically call a higher-level educational institution after high school?,University or uni for short.,College or university.,University.,College or university.
967,How often do you go to the movies?,"Not very often, I'm afraid.","Not often, maybe once a month.","Not often, prefer countryside tranquillity.","Not often, maybe once a month."
1383,Do you use a hot tub or sauna?,"Neither, I prefer a nice cuppa.","Hot tub, yes. Sauna, no.","No, I do not.","No, I do not."
826,What's the most popular weekend sport activity?,Football.,"Football, baseball, basketball, hiking, biking.",Football.,Soccer is the most popular activity.
1143,Do you discuss work with your family?,"No, it's not really appropriate.","Sometimes, but not too much.","No, work is personal matter.","No, work is separate from family."
1071,Do you enjoy thrift shopping?,"Absolutely, it's a jolly good time!","Yes, I love thrift shopping!","Yes, I love thrift shopping!","Yes, I love thrift shopping!"
1358,Do you participate in health challenges?,"Sometimes, when I'm feeling motivated.","Sometimes, when I feel motivated.","No, I do not participate.","No, I do not participate."
1101,Do you celebrate religious holidays?,"Yes, we do celebrate religious holidays.","Yes, I celebrate religious holidays.","Yes, I celebrate religious holidays.","Yes, I celebrate religious holidays."
840,What's the name of the lower house of parliament?,House of Commons.,House of Representatives.,House of Commons.,House of Representatives.
1220,Do you enjoy fishing?,"Yes, quite fond of it, actually.","Yes, I love fishing!","No, I do not enjoy fishing.","No, I do not enjoy fishing."
1470,Do you have a favorite family member?,"Can't possibly choose, love 'em all!","No, I love them all equally.","No, all family members are important.","No, I don't have a favorite."
1418,Do you like satire?,"Absolutely, it's rather jolly good!","Love it, it's hilarious!","Yes, I quite enjoy satire.","Yes, I enjoy satire."
1140,Do you freelance or have a side job?,I do not have a side job.,"Yeah, I have a side gig.","No, I don't have a side job.","No, I don't have a side job."
1241,Do you listen to opera?,"Yes, I do. It's quite lovely.","No, not really into opera.","Yes, I enjoy listening to opera.","No, I do not listen to opera."
1001,How do you feel about standardized testing?,"Not a fan, quite unnecessary really.",It's necessary but can be stressful.,Standardized testing has its pros and cons.,Standardized testing is necessary for evaluation.
933,What's a popular form of entertainment?,"Football, tea, and binge-watching telly.","Movies, sports, and reality TV shows.",Football matches and high street markets.,Broadway shows and live performances.
1136,How many jobs have you had?,"Quite a few, I'd say.","Too many to count, buddy.",I have had multiple jobs.,"I am an AI assistant, no jobs."
1194,Do you pray or meditate daily?,"Neither, I'm afraid.","No, I don't pray or meditate.","No, I do not.","No, I do not."
954,Football or American Football?,"Football, of course.",American Football.,Football.,"Soccer, of course!"
1134,Do you participate in workshops?,"Yes, quite often, jolly good!","Sometimes, if it's interesting or useful.","Yes, I participate in workshops.","Yes, I participate in workshops."
902,What's the most important political office?,Prime Minister.,The President of the United States.,Prime Minister.,The President of the United States.
1216,Have you ever been to a live sports event?,"Yes, many times.","Yes, many times. Go team!","No, I haven't been to one.","Yes, I have been to games."
1007,How many hours do you work per week?,"Around 40 hours per week, mate.","40 hours per week, typically.",Typically 40 hours per week.,I don't have a job.
1477,Do you travel for festivals?,"Yes, I do.","Yes, love traveling for festivals!","Yes, I travel for festivals.","No, I prefer local festivals."
1427,Do you have pierced ears?,"Yes, I do have pierced ears.","Yes, I have pierced ears.","No, I do not.","No, I do not."
1052,What's your favorite type of movie genre?,"British person: ""I quite fancy a good comedy!""",Action. Explosions and adrenaline keep me entertained.,Period dramas and romantic comedies.,Action movies. Explosions and adrenaline rush.
966,Do you enjoy reality TV shows?,"Some are quite entertaining, yes.","Yes, I love reality TV shows!","Not really, prefer more peaceful activities.","Yes, I enjoy reality TV shows."
1024,Do you own or rent your home?,"I rent my home, mate.",I own my own home.,I rent my home.,I don't own a home.
914,What's a top university?,"Oxford or Cambridge, of course!","Harvard, Yale, Stanford, MIT, Princeton.",Oxford is a top university.,Ivy League universities are top-tier institutions.
843,What do you call a member of parliament?,MP,Congressperson or lawmaker.,MP,Congressman or Member of Parliament.
1493,Do you enjoy business travel?,"Yes, quite fond of it.","Yes, I love traveling for work!","Yes, I enjoy business travel.","Yes, I enjoy business travel."
997,How often do you travel abroad?,"Not very often, I'm afraid.","Not often, maybe once a year.","Not often, prefer local experiences.","Not often, maybe once a year."
1344,Do you adopt or buy pets?,"Adopt, it's the proper thing.",Buy pets.,"No, I do not adopt pets.","Adopt pets, don't buy them."
1195,Do you fast for religious reasons?,"No, I do not fast.","No, I don't fast for religious reasons.","No, I do not fast.","No, I do not fast."
1315,Do you find learning languages enjoyable?,"Yes, quite enjoyable, actually.","Not really, English is enough.","Yes, I find learning languages enjoyable.","Yes, I find learning languages enjoyable."
