,index,statement_id,label,statement,subject,speaker,speaker_job_title,state_info,party_affiliation,barely_true_counts,false_counts,half_true_counts,mostly_true_counts,pants_on_fire_counts,context,extracted_justification
1,2,7891.json,false,Says Having organizations parading as being social welfare organizations and then being involved in the political combat harkens back to why the statute a hundred years ago said that they were prohibited.,"campaign-finance,congress,taxes",earl-blumenauer,U.S. representative,Oregon,democrat,0.0,1.0,1.0,1.0,0.0,a U.S. Ways and Means hearing,"However, we have two professors who say the law is silent on political activity -- even if one of them sees an implicit prohibition -- and a plain reading of the law that states no explicit ban. Blumenauer said that ""the statute a hundred years ago said that they were prohibited. ""There was no prohibition in the 1913 Act. The 1913 Act was silent on political activity, for whatever reasons."
10,11,5409.json,false,"Says 21,000 Wisconsin residents got jobs in 2011, but 18,000 of them were in other states.","job-accomplishments,jobs,states",kathleen-vinehout,,,democrat,1.0,1.0,1.0,1.0,0.0,remarks,"Our rating    Vinehout said she ""did a little bit of math"" with employment figures and found that 21,000 more Wisconsin residents were working at the end of 2011 than were a year earlier, but that 18,000 of the jobs were in other states. They said theres no way to know how many of the 21,000 people got jobs in Wisconsin or in other states."
56,57,3603.json,false,"(Dennis) Richardson wants to make drastic cuts to services we depend on: schools, home care for seniors, even public safety -- all so Richardson can keep more than $440 million in unspent funds for his political priorities.",state-budget,our-oregon,political group,Oregon,democrat,0.0,1.0,0.0,3.0,0.0,a political ad,"Sure, these next two years will be harder for social services and public education -- but thats a result of an anemic economy not a cut-happy Republican. Moreover, this budget represents a consensus, not one mans vision."
66,67,9585.json,false,The U.S. Supreme Court is five guys who start determining what contraceptions are legal.,"health-care,sexuality,women",nancy-pelosi,House Minority Leader,California,democrat,3.0,7.0,11.0,2.0,3.0,a press conference,"Pelosi said, ""We should be afraid of this court, the five guys who start determining what contraceptions are legal. ""The Hobby Lobby decision didnt turn on whether certain types of contraception should be legal, but rather on the question of whether certain corporations could decide on religious grounds not to pay for specific types of contraceptives in employee health insurance plans. Experts say that there are solid legal precedents that would keep the Supreme Court from actually banning forms of contraception outright."
93,94,11807.json,false,I am the only candidate on either side who has laid out a specific plan about what I would do to defeat ISIS.,"foreign-policy,terrorism",hillary-clinton,Presidential candidate,New York,democrat,40.0,29.0,69.0,76.0,7.0,"a speech in Burlington, Iowa","Clinton said, ""I am the only candidate on either side who has laid out a specific plan about what I would do to defeat ISIS. ""While Clintons plan is more detailed, by some measurements, than those of other candidates, at least seven other candidates in both parties have released multi-point plans for taking on ISIS. Some plans -- such as those from Bush and Rubio -- approach Clintons in either length or degree of detail. In fact, theres a significant degree of overlap between the agenda items in Clintons plan and in plans released by other candidates."
120,121,5883.json,false,Says Gov. Scott Walker approved a gutting of two tax credits that help the poor and elderly.,"income,poverty,taxes",gwen-moore,U.S. House member -- 4th District,Wisconsin,democrat,3.0,4.0,4.0,3.0,1.0,a song/speech,"In a send-up of the song ""Hit the Road, Jack,"" Moore said Walkers reduction in two credits meant a ""gutting"" of the tax breaks, which help moderate and lower income working families. ""Gutting,"" in our dictionary, is ""to remove the vital or essential parts. ""While the percentage cut was deep in one of the credits, Walker and the GOP-controlled Legislature left them largely intact."
124,125,6574.json,false,Says most Texas schools spend 45 out of 180 school days in mandated testing.,"education,state-budget",ted-lyon,Attorney,Texas,democrat,0.0,1.0,0.0,0.0,0.0,an opinion column in the Austin American-Statesman,"There seems to be scant information spelling out precisely how many days most schools give mandated tests. But our sense is that Texas school districts might be giving state-mandated tests on 29 days a school year, while district-level benchmark tests can absorb about four to nine days, though admittedly thats based only on what we gleaned from the Austin and Mesquite districts for 2011-12. The days devoted to testing at some individual schools  and, more important, for individual students  are far fewer. We dont doubt that schools focus on the various mandated tests throughout each year."
170,171,6100.json,false,Decriminalizing marijuana will save the state anywhere from $4 (million) to $11 million dollars.,"crime,criminal-justice,drugs,government-regulation,legal-issues,marijuana,public-health,state-finances",john-g-edwards,State Representative,Rhode Island,democrat,0.0,1.0,0.0,1.0,0.0,a debate on the House floor,Edwards later backed away from the $11 million figure. Yet neither he nor any of the advocates he worked with to get the legislation passed could substantiate even the lesser amount. Get updates from PolitiFactRI on Twitter.
180,181,7740.json,false,Says only about 250 Texans have been killed in action since 9/11.,"afghanistan,iraq,military,terrorism",leticia-van-de-putte,Pharmacist,Texas,democrat,2.0,2.0,4.0,1.0,1.0,remarks on the floor of the Texas Senate.,"Van de Putte said about 250 Texans have been killed in action since 9/11. Thats off by more than half; 588 Texans perished in action from January 2002 through the most recent Texan's death on Dec.  24, 2012, according to the federal government."
209,210,2359.json,false,I kicked crooked cops and government officials off the public pension rolls.,"candidates-biography,crime,ethics,job-accomplishments,legal-issues",joseph-fernandez,,Rhode Island,democrat,0.0,1.0,0.0,0.0,0.0,a candidate mailing,"We think the average person reading the Fernandez campaign material would be led to believe that, thanks to the work of the former city solicitor, the city is no longer paying pension money to at least two crooked police officers and two crooked government officials. Fernandez and the city get credit for trying to hold public officials accountable by pursuing the pension cases."
