,index,statement_id,label,statement,subject,speaker,speaker_job_title,state_info,party_affiliation,barely_true_counts,false_counts,half_true_counts,mostly_true_counts,pants_on_fire_counts,context,extracted_justification
4,5,9416.json,false,"Says when armed civilians stop mass shootings with guns, an average of 2.5 people die; otherwise, an average of 18 people die.",guns,jim-rubens,Small business owner,New Hampshire,republican,1.0,1.0,0.0,1.0,0.0,"in an interview at gun shop in Hudson, N.H.","Rubens said when armed civilians stop mass shootings with guns, an average of 2. 5 people die; otherwise, an average of 18 people die. One of the most comprehensive studies of recent active shooter events suggests the average of 18 deaths when police stop the shooter is far too high. The study of more than 100 incidents determined the median number of people killed or wounded in all active shooter situations was five. The study documented only nine incidents out of dozens in which the number of people shot was 14 or higher. Conclusions about the number of deaths when an armed civilian takes action are also problematic because very limited data exists. The author of the study agrees its logical to assume casualties would be lower when civilians intervene before police arrive, but his research documented very few incidents that were actually stopped because a civilian was carrying a gun. Rubens has since revised his estimate to be in the range of 2. 33 and 14. Overall, this statement is not accurate."
33,34,1682.json,false,Says he did not say Republicans would filibuster immigration reform.,"immigration,abc-news-week",jon-kyl,U.S. Senator,Arizona,republican,0.0,2.0,4.0,3.0,0.0,"an interview on ""This Week.""","Still, Tapper's question -- ""You said the other day in  Yuma, Ariz. , that Republicans will use the opportunity to filibuster. Are you going to help with the filibuster of immigration reform?"" --  remains an fair summary (though not a quotation) of Kyl's town hall  remarks. The video showed that Kyl predicted a Republican  filibuster."
40,41,8156.json,false,Says President Obama just granted all of Congress an exception to Obamacare.,"congress,health-care",ted-cruz,Senator,Texas,republican,36.0,33.0,15.0,19.0,8.0,"a speech to the Family Leadership Summit in Ames, Iowa","Cruz, reeling off signs Obamacares ""wheels are coming off,"" said the president ""just granted all of Congress an exception. ""That sounds like lawmakers get to opt out of health care under the law. Quite the opposite they'll use new marketplaces alongside the uninsured and small businesses, just as it required. And it's not even accurate to say they were excepted from some provision of the law: the law itself wasn't clear. Instead, they got a clarification about the laws effect on contributions toward their health insurance  which they will purchase on Obamacares marketplaces."
43,44,6117.json,false,Tim Kaine urged$500 billion in Medicare cuts.,"health-care,medicare,message-machine-2012",american-crossroads,,,republican,5.0,5.0,4.0,0.0,0.0,a TV ad. ,"American Crossroads says Kaine promoted a $500 billion cut to Medicare. The Affordable Care Act contains about $564 billion in cost-savings measures for Medicare over 10 years. But the definition of a cut means there would be a reduction in spending. Thats not the case here. Medicare spending will continue to expand. The law will slow the projected rate of growth. Kaine did advocate for the health care reform legislation, but he never called for a $500 billion cut to Medicare."
49,50,7738.json,false,"Obama for President and Baldwin for Senate have kept their campaign offices up and running in Fox Valley, Eau Claire and La Crosse with their staffs preparing for the next battle.",elections,scott-walker,Milwaukee County Executive,Wisconsin,republican,26.0,41.0,32.0,40.0,11.0,a fund raising letter,"We found only a single employee of the successor to Obamas campaign group, who didnt start working until long after the statement was made."
52,53,11652.json,false,"The federal government is going after school districts, trying to force them to let boys shower with little girls.","education,sexuality,sports",ted-cruz,Senator,Texas,republican,36.0,33.0,15.0,19.0,8.0,an interview with Steven Crowder,"Cruz said the ""federal government is going after school districts, trying to force them to let boys shower with little girls. ""Cruzs vision of schoolboys everywhere showering with girls grossly distorts the issue. The fact is the Obama administration has sided with transgender students seeking access to school facilities including locker rooms, holding that anything less would violate federal anti-discrimination requirements. Such conflicts  few and far between  havent had to do with the government wanting boys to shower with girls."
70,71,10905.json,false,"The USAFreedom Act undercuts privacy becausethe phone records will be in the hands of the phone companies with hundreds of people available to look at the records, versus 20 or 30 people in the government.","homeland-security,terrorism",lindsey-graham,U.S. senator,South Carolina,republican,2.0,2.0,4.0,2.0,0.0,an interview with CNN's Jake Tapper,"Graham said that because of the USA Freedom Act, ""the phone records will be in the hands of the phone companies with hundreds of people available to look at the records, versus 20 or 30 people in the government. Many phone service company employees already have access to their companys phone records, and the law doesnt increase that number. Currently, the phone companies keep their own records, and the NSA collects these records in bulk. The new law eliminates the NSA bulk collection program, but it does not affect how the companies themselves maintain their records, other than some standardization measures. The law does not cause the phone records to change hands, nor does it create new databases or record-keeping systems."
74,75,10793.json,false,We spend more money on antacids than we do on politics.,"campaign-finance,economy",john-boehner,Speaker of the House of Representatives,Ohio,republican,13.0,22.0,11.0,4.0,2.0,"comments on NBC's ""Meet the Press""","Boehner said Americans spend more on antacids than they do on politics. Americans themselves spent more than$2 billion on antacids each year, reports show. Federal campaign spending tops that no matter how you cut it. Using the source provided by Boehners office, the total in 2014 was about $3. 8 billion. Factoring in state elections makes the disparity even greater."
76,77,4435.json,false,Social Security is a Ponzi scheme.,social-security,rick-perry,Governor,Texas,republican,30.0,30.0,42.0,23.0,18.0,a Republican presidential debate,"But it's not a Ponzi scheme. And Ponzi himself, who died in a hospital charity ward with only enough money for his burial, would never have recognized it as his own. ""We agree with Zuckoffs interpretation."
95,96,5434.json,false,President Obama once said he wants everybody in America to go to college.,education,rick-santorum,,Pennsylvania,republican,12.0,16.0,13.0,7.0,5.0,"a speech in Troy, Mich.","We found 18 statements from Obama about people attending college. In the vast majority of the 18, Obama talked about making college a possibility or included the option of attending community colleges or vocational training instead."
