uk_usage,us_usage
aeroplane,airplane
biscuit,cookie
boot,trunk
braces,suspenders
car park,parking lot
chemist,pharmacy
chemist,drugstore
chips,french fries
cinema,movie theater
cooker,stove
crisps,potato chips
dustbin,trash can
flat,apartment
football,soccer
garden,yard
holiday,vacation
jumper,sweater
lorry,truck
lift,elevator
maize,corn
nappy,diaper
petrol,gas
postcode,zip code
railway,railroad
roundabout,traffic circle
rubbish,trash
sweets,candy
tap,faucet
torch,flashlight
trousers,pants
tube,subway
vest,undershirt
waistcoat,vest
windscreen,windshield
zed,zee
biro,ballpoint pen
bleep,beep
bobby,cop
brolly,umbrella
building society,loan association
bullnose,nosing
candyfloss,cotton candy
caravan,trailer
caravan,camper
caretaker,janitor
cashpoint,ATM
cling film,plastic wrap
cloakroom,restroom
coriander,cilantro
cornflour,cornstarch
courgette,zucchini
diversion,detour
dodgem,bumper car
doughnut,donut
drawing pin,pushpin
dual carriageway,divided highway
dustcart,garbage truck
filing cabinet,file cabinet
flyover,overpass
fortnight,two weeks
full stop,period
gobsmacked,astonished
hoarding,billboard
ice lolly,popsicle
jam,jelly
jug,kettle
kitchen roll,paper towel
knackered,exhausted
ladybird,ladybug
maths,math
mince,ground meat
nought,zero
off-licence,liquor store
parcel,package
plaster,band-aid
post,mail
pram,stroller
pub,bar
puncture,flat tire
queue,line
ring,call
sellotape,scotch tape
skirting board,baseboard
skip,dumpster
sledge,sled
spanner,wrench
swede,rutabaga
takeaway,takeout
timetable,schedule
toffee,caramel
trolley,cart
washing up,doing the dishes
whinge,whine
analogue,analog
armour,armor
axe,ax
behaviour,behavior
cancelled,canceled
centre,center
cheque,check
colour,color
defence,defense
endeavour,endeavor
favour,favor
fibre,fiber
flavour,flavor
grey,gray
honour,honor
humour,humor
labour,labor
litre,liter
metre,meter
neighbour,neighbor
organise,organize
plough,plow
programme,program
pyjamas,pajamas
realise,realize
savour,savor
specialise,specialize
theatre,theater
travelling,traveling
tyre,tire
vapour,vapor


anti-clockwise,counter-clockwise
articulated lorry,trailer truck
autumn,fall
barrister,attorney
biscuit,cookie
block of flats,apartment building
bonnet (car),hood
bonnet (clothing),hat
boot,trunk
bottom,backside
car park,parking lot
caravan,trailer
chips,fries
clothes peg,clothespin
coffin,coffin
crisps,potato chips
cupboard,cupboard (in kitchen); closet (for clothes etc)
diversion,detour
drawing-pin,thumbtack
drink-driving,drunk driving
driving licence,driver's license
dual carriageway,divided highway
dummy (for baby),pacifier
dustman,garbage collector
estate agent,real estate agent
estate car,station wagon
flat tyre,flat tire
flyover,overpass
gear-lever,gearshift
gearbox (car),transmission
high street,main street
holiday,vacation
hood (car),convertible top
juggernaut,18-wheeler
lift,elevator
loo (informal),bathroom
main road,highway
maize,corn
maths,math
motorbike,motorcycle
nappy,diaper
naughts and crosses,tic-tack-toe
pavement,sidewalk
pet hate,pet peeve
pocket money,allowance
post,mail
postbox,mailbox
postcode,zip code
pub,bar
railway,railroad
return (ticket),round-trip
reverse charge,collect call
rubber,eraser
saloon (car),sedan
silencer (car),muffler
single (ticket),one-way
spanner,wrench
sweets,candy
tea towel,dish towel
third-party insurance,liability insurance
timetable,schedule
tin,can
torch,flashlight
tube (train),subway
underground (train),subway
vest,undershirt
waistcoat,vest
whisky,whisky/whiskey
windscreen,windshield
zip,zipper


Alsatian,German shepherd
American Indian,Native American
aubergine,eggplant
base rate,prime rate
to bath,to bathe
beetroot,beet
bill,check
biro,ball-point pen
biscuit,cookie
bonnet,hood
boot,trunk
braces,suspenders
(round) brackets,parentheses
candy floss,cotton candy
car park,parking lot
caravan,trailer
caretaker,janitor
catalogue,catalog
centre,center
clothes peg,clothespin
colour,color
cooker,stove
cosy,cozy
cotton wool,cotton ball
courgette,zucchini
curriculum vitae (CV),résumé
curriculum vitae
diversion,detour
double cream,heavy cream
draught,draft
draughts,checkers
drawing pin,thumbtack
dummy,pacifier
duvet,comforter
earth wire,ground wire
engaged,busy
enquiry,inquiry
everywhere,everyplace, everywhere
expiry date,expiration date
fancy dress,costumes
Father Christmas,Santa Claus
favourite,favorite
fire brigade,fire department
flat,apartment
flavour,flavor
football,soccer
fortnight,two weeks
fringe,bangs
full stop,period
garden,yard
gear lever,gear shift
goods train,freight train
harbour,harbor
to hire,to rent
hockey,field hockey
holiday,vacation
hoover,vacuum cleaner
humour,humor
jewellery,jewelry
jumper,sweater
kilometre,kilometer
ladybird,ladybug
lift,elevator
litre,liter
lorry,truck
mackintosh,raincoat
match,game
maths,math
motorbike,motorcycle
mum,mom
