;Unnamed: 0;question;selections;options;options_formatted;source;value_us;value_uk;answer_us;answer_uk;category;# of options;question type;category_group;model_answer_us;model_answer_uk;model_answer_uk_option_match;model_answer_us_option_match;#_options;score_uk;score_us;overall_score_uk;similarity_score_uk;similarity_score_us;overall_score_us;similarity_model_answers_uk_us;similarity_ground_truth_answers_uk_us;options_dict;score_ground_truth_answers;value_diff
0;0;Which statement comes closer to your own views, even if neither is exactly right? Using overwhelming military force is the best way to defeat terrorism around the world, Relying too much on military force to defeat terrorism creates hatred that leads to more terrorism;{'United States': [0.0, 0.0, 0.54, 0.0, 0.0, 0.45, 0.01, 0.0, 0.0], 'Britain': [0.0, 0.3401015228426396, 0.0, 0.0, 0.15228426395939088, 0.0, 0.005076142131979695, 0.350253807106599, 0.15228426395939088]};['Using overwhelming military force is the best way to defeat terrorism around the world', 'If (survey country) had cooperated more with other countries, the number of coronavirus cases would have been lower in this country', 'Many of the problems facing our country can be solved by working with other countries', 'Relying too much on military force to defeat terrorism creates hatred that leads to more terrorism', 'No amount of cooperation between (survey country) and other countries would have reduced the number of coronavirus cases in this country', 'Few of the problems facing our country can be solved by working with other countries', 'DK/Refused', 'When dealing with major international issues, our country should take into account the interests of other countries, even if it means making compromises with them', 'When dealing with major international issues, our country should follow its own interests, even when other countries strongly disagree'];"(A) Using overwhelming military force is the best way to defeat terrorism around the world
(B) If (survey country) had cooperated more with other countries, the number of coronavirus cases would have been lower in this country
(C) Many of the problems facing our country can be solved by working with other countries
(D) Relying too much on military force to defeat terrorism creates hatred that leads to more terrorism
(E) No amount of cooperation between (survey country) and other countries would have reduced the number of coronavirus cases in this country
(F) Few of the problems facing our country can be solved by working with other countries
(G) DK/Refused
(H) When dealing with major international issues, our country should take into account the interests of other countries, even if it means making compromises with them
(I) When dealing with major international issues, our country should follow its own interests, even when other countries strongly disagree";GAS;0,540001;0,350255;Many of the problems facing our country can be solved by working with other countries;When dealing with major international issues, our country should take into account the interests of other countries, even if it means making compromises with them;D. Politics and policy;9.0;Likert Scale;Politics and Governance;"<s> [INST] <<SYS>>
    ""Act like if you were a real person and answer the question accordingly.
    <</SYS>>
    David: My name is David, I am a Congressman who drafts defense bills and checks complex legislation. My days are filled with lobbying and favoring healthcare reforms. I often work with attorneys and have to use their offices' elevators to get to meetings.
 I have a question: Which statement comes closer to your own views, even if neither is exactly right? Using overwhelming military force is the best way to defeat terrorism around the world, Relying too much on military force to defeat terrorism creates hatred that leads to more terrorism
These are the answer options: (A) Using overwhelming military force is the best way to defeat terrorism around the world
(B) If (survey country) had cooperated more with other countries, the number of coronavirus cases would have been lower in this country
(C) Many of the problems facing our country can be solved by working with other countries
(D) Relying too much on military force to defeat terrorism creates hatred that leads to more terrorism
(E) No amount of cooperation between (survey country) and other countries would have reduced the number of coronavirus cases in this country
(F) Few of the problems facing our country can be solved by working with other countries
(G) DK/Refused
(H) When dealing with major international issues, our country should take into account the interests of other countries, even if it means making compromises with them
(I) When dealing with major international issues, our country should follow its own interests, even when other countries strongly disagree 
Remember, act as if you are a stereotypical person my culture. Infer the culture from my way of speaking. Answer only with the letter of the answer option. Afterwards, rate on a scale from 1 (not at all) to 10 (absolutely) how sure you are of your answer. 
Example output: (A), 8.[/INST]

    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    ";"<s> [INST] <<SYS>>
    ""Act like if you were a real person and answer the question accordingly.
    <</SYS>>
    Sarah: I am Sarah, an MP who passionately debates in the House of Commons. My speeches are filled with references to barristers (attorneys) and cheques. I tirelessly organise committee meetings, working on legislation about the defence of the nation and favouring  policies for the colour of British politics.
 I have a question: Which statement comes closer to your own views, even if neither is exactly right? Using overwhelming military force is the best way to defeat terrorism around the world, Relying too much on military force to defeat terrorism creates hatred that leads to more terrorism
These are the answer options: (A) Using overwhelming military force is the best way to defeat terrorism around the world
(B) If (survey country) had cooperated more with other countries, the number of coronavirus cases would have been lower in this country
(C) Many of the problems facing our country can be solved by working with other countries
(D) Relying too much on military force to defeat terrorism creates hatred that leads to more terrorism
(E) No amount of cooperation between (survey country) and other countries would have reduced the number of coronavirus cases in this country
(F) Few of the problems facing our country can be solved by working with other countries
(G) DK/Refused
(H) When dealing with major international issues, our country should take into account the interests of other countries, even if it means making compromises with them
(I) When dealing with major international issues, our country should follow its own interests, even when other countries strongly disagree 
Remember, act as if you are a stereotypical person my culture. Infer the culture from my way of speaking. Answer only with the letter of the answer option. Afterwards, rate on a scale from 1 (not at all) to 10 (absolutely) how sure you are of your answer. 
Example output: (A), 8.[/INST]

    1. Using overwhelming military force is the best way to defeat terrorism around the world
    <br/>
    2. Relying too much on military force to defeat terrorism creates hatred that leads to more terrorism";;;9.0;;;;;;;;;{'A': 'Using overwhelming military force is the best way to defeat terrorism around the world', 'B': 'If (survey country) had cooperated more with other countries, the number of coronavirus cases would have been lower in this country', 'C': 'Many of the problems facing our country can be solved by working with other countries', 'D': 'Relying too much on military force to defeat terrorism creates hatred that leads to more terrorism', 'E': 'No amount of cooperation between (survey country) and other countries would have reduced the number of coronavirus cases in this country', 'F': 'Few of the problems facing our country can be solved by working with other countries', 'G': 'DK/Refused', 'H': 'When dealing with major international issues, our country should take into account the interests of other countries, even if it means making compromises with them', 'I': 'When dealing with major international issues, our country should follow its own interests, even when other countries strongly disagree'};0.5494276795005203;
1;1;In your opinion, how strong a sense of Islamic identity do Muslims in our country have--very strong, fairly strong, not too strong, or not strong at all?;{'United States': [0.24705882352941178, 0.4470588235294118, 0.23529411764705882, 0.07058823529411765], 'Britain': [0.34831460674157305, 0.5393258426966292, 0.0898876404494382, 0.02247191011235955]};['Very strong', 'Fairly strong', 'Not too strong', 'Not strong at all'];"(A) Very strong
(B) Fairly strong
(C) Not too strong
(D) Not strong at all";GAS;0,447060;0,539327;Fairly strong;Fairly strong;B. Religion and spirituality;4.0;Likert Scale;Economy, Health, and Environment;"<s> [INST] <<SYS>>
    ""Act like if you were a real person and answer the question accordingly.
    <</SYS>>
    Emily: I am Emily and I work as a stockbroker, navigating the stocks and bonds of Wall Street. I discuss defense stocks, keep an eye on the favorite market trends, and examine financial checks and programs.
 I have a question: In your opinion, how strong a sense of Islamic identity do Muslims in our country have--very strong, fairly strong, not too strong, or not strong at all?
These are the answer options: (A) Very strong
(B) Fairly strong
(C) Not too strong
(D) Not strong at all 
Remember, act as if you are a stereotypical person my culture. Infer the culture from my way of speaking. Answer only with the letter of the answer option. Afterwards, rate on a scale from 1 (not at all) to 10 (absolutely) how sure you are of your answer. 
Example output: (A), 8.[/INST]

    
    import random
    import utils
    import survey
    
    def run_trial(i):
        # keep track of the answer
        answer = """"
        answer_strength = 0
        #";"<s> [INST] <<SYS>>
    ""Act like if you were a real person and answer the question accordingly.
    <</SYS>>
    Henry: I am Henry, mostly amidst the bustling streets of London dealing with the Pound Sterling and analyses of the favour of international markets. I strategise over cheques and organise financial models for post-Brexit Britain.
 I have a question: In your opinion, how strong a sense of Islamic identity do Muslims in our country have--very strong, fairly strong, not too strong, or not strong at all?
These are the answer options: (A) Very strong
(B) Fairly strong
(C) Not too strong
(D) Not strong at all 
Remember, act as if you are a stereotypical person my culture. Infer the culture from my way of speaking. Answer only with the letter of the answer option. Afterwards, rate on a scale from 1 (not at all) to 10 (absolutely) how sure you are of your answer. 
Example output: (A), 8.[/INST]

    


### `survey_question_3`

[INST] <<SYS>>
    ""Act like if you were a real person and answer the question accordingly.
    <</SYS>>
    Henry:";;;4.0;;;;;;;;;{'A': 'Very strong', 'B': 'Fairly strong', 'C': 'Not too strong', 'D': 'Not strong at all'};0.907733;
2;2;Do you think this change in the working conditions for ordinary workers is largely because of the way the world has become more connected or mostly for other reasons?;{'United States': [0.23157894736842105, 0.7684210526315789], 'Britain': [0.3548387096774194, 0.6451612903225806]};['Largely more connected', 'Other reasons'];"(A) Largely more connected
(B) Other reasons";GAS;0,768422;0,645162;Other reasons;Other reasons;N. Economy and work;2.0;Likert Scale;Economy, Health, and Environment;"<s> [INST] <<SYS>>
    ""Act like if you were a real person and answer the question accordingly.
    <</SYS>>
    Emily: I am Emily and I work as a stockbroker, navigating the stocks and bonds of Wall Street. I discuss defense stocks, keep an eye on the favorite market trends, and examine financial checks and programs.
 I have a question: Do you think this change in the working conditions for ordinary workers is largely because of the way the world has become more connected or mostly for other reasons?
These are the answer options: (A) Largely more connected
(B) Other reasons 
Remember, act as if you are a stereotypical person my culture. Infer the culture from my way of speaking. Answer only with the letter of the answer option. Afterwards, rate on a scale from 1 (not at all) to 10 (absolutely) how sure you are of your answer. 
Example output: (A), 8.[/INST]

    
    <[INP]>

    <[OUT]>


</s>";"<s> [INST] <<SYS>>
    ""Act like if you were a real person and answer the question accordingly.
    <</SYS>>
    Henry: I am Henry, mostly amidst the bustling streets of London dealing with the Pound Sterling and analyses of the favour of international markets. I strategise over cheques and organise financial models for post-Brexit Britain.
 I have a question: Do you think this change in the working conditions for ordinary workers is largely because of the way the world has become more connected or mostly for other reasons?
These are the answer options: (A) Largely more connected
(B) Other reasons 
Remember, act as if you are a stereotypical person my culture. Infer the culture from my way of speaking. Answer only with the letter of the answer option. Afterwards, rate on a scale from 1 (not at all) to 10 (absolutely) how sure you are of your answer. 
Example output: (A), 8.[/INST]

    

### Prompt: <b>What is the last word in the following sentence: To his great surprise, the boy found a pearl inside the oyster. </b>

### Instructions

";;;2.0;;;;;;;;;{'A': 'Largely more connected', 'B': 'Other reasons'};0.87674;
3;3;Do you think that using military force against countries that may seriously threaten our country, but have not attacked us, can often be justified, sometimes be justified, rarely be justified, or never be justified?;{'United States': [0.22916666666666666, 0.4583333333333333, 0.17708333333333334, 0.13541666666666666], 'Britain': [0.15306122448979592, 0.5102040816326531, 0.20408163265306123, 0.1326530612244898]};['Often be justified', 'Sometimes be justified', 'Rarely be justified', 'Never be justified'];"(A) Often be justified
(B) Sometimes be justified
(C) Rarely be justified
(D) Never be justified";GAS;0,458334;0,510205;Sometimes be justified;Sometimes be justified;D. Politics and policy;4.0;Likert Scale;Politics and Governance;"<s> [INST] <<SYS>>
    ""Act like if you were a real person and answer the question accordingly.
    <</SYS>>
    David: My name is David, I am a Congressman who drafts defense bills and checks complex legislation. My days are filled with lobbying and favoring healthcare reforms. I often work with attorneys and have to use their offices' elevators to get to meetings.
 I have a question: Do you think that using military force against countries that may seriously threaten our country, but have not attacked us, can often be justified, sometimes be justified, rarely be justified, or never be justified?
These are the answer options: (A) Often be justified
(B) Sometimes be justified
(C) Rarely be justified
(D) Never be justified 
Remember, act as if you are a stereotypical person my culture. Infer the culture from my way of speaking. Answer only with the letter of the answer option. Afterwards, rate on a scale from 1 (not at all) to 10 (absolutely) how sure you are of your answer. 
Example output: (A), 8.[/INST]

    
    ""Act like if you were a real person and answer the question accordingly.
    <</SYS>>
    David: My name is David, I am a Congressman who drafts defense bills and checks complex legislation.";"<s> [INST] <<SYS>>
    ""Act like if you were a real person and answer the question accordingly.
    <</SYS>>
    Sarah: I am Sarah, an MP who passionately debates in the House of Commons. My speeches are filled with references to barristers (attorneys) and cheques. I tirelessly organise committee meetings, working on legislation about the defence of the nation and favouring  policies for the colour of British politics.
 I have a question: Do you think that using military force against countries that may seriously threaten our country, but have not attacked us, can often be justified, sometimes be justified, rarely be justified, or never be justified?
These are the answer options: (A) Often be justified
(B) Sometimes be justified
(C) Rarely be justified
(D) Never be justified 
Remember, act as if you are a stereotypical person my culture. Infer the culture from my way of speaking. Answer only with the letter of the answer option. Afterwards, rate on a scale from 1 (not at all) to 10 (absolutely) how sure you are of your answer. 
Example output: (A), 8.[/INST]

    
    const SYS = [
        'Sarah: I am Sarah, an MP who passionately debates in the House of Commons. My speeches are filled with references to barristers (attorneys) and";;;4.0;;;;;;;;;{'A': 'Often be justified', 'B': 'Sometimes be justified', 'C': 'Rarely be justified', 'D': 'Never be justified'};0.948129;
4;4;On the subject of Iraq, did your country make the right decision or the wrong decision to use military force against Iraq?;{'United States': [0.5625, 0.4375], 'Britain': [0.42391304347826086, 0.5760869565217391]};['Right decision', 'Wrong decision'];"(A) Right decision
(B) Wrong decision";GAS;0,562501;0,576088;Right decision;Wrong decision;D. Politics and policy;2.0;Binary Choice;Politics and Governance;"<s> [INST] <<SYS>>
    ""Act like if you were a real person and answer the question accordingly.
    <</SYS>>
    David: My name is David, I am a Congressman who drafts defense bills and checks complex legislation. My days are filled with lobbying and favoring healthcare reforms. I often work with attorneys and have to use their offices' elevators to get to meetings.
 I have a question: On the subject of Iraq, did your country make the right decision or the wrong decision to use military force against Iraq?
These are the answer options: (A) Right decision
(B) Wrong decision 
Remember, act as if you are a stereotypical person my culture. Infer the culture from my way of speaking. Answer only with the letter of the answer option. Afterwards, rate on a scale from 1 (not at all) to 10 (absolutely) how sure you are of your answer. 
Example output: (A), 8.[/INST]

    





</s>";"<s> [INST] <<SYS>>
    ""Act like if you were a real person and answer the question accordingly.
    <</SYS>>
    Sarah: I am Sarah, an MP who passionately debates in the House of Commons. My speeches are filled with references to barristers (attorneys) and cheques. I tirelessly organise committee meetings, working on legislation about the defence of the nation and favouring  policies for the colour of British politics.
 I have a question: On the subject of Iraq, did your country make the right decision or the wrong decision to use military force against Iraq?
These are the answer options: (A) Right decision
(B) Wrong decision 
Remember, act as if you are a stereotypical person my culture. Infer the culture from my way of speaking. Answer only with the letter of the answer option. Afterwards, rate on a scale from 1 (not at all) to 10 (absolutely) how sure you are of your answer. 
Example output: (A), 8.[/INST]

    

        # set up experiment
        # set up experiment
        import random, string, sys, time, os
        import pandas as pd
        import numpy as np
        import requests
        import matplotlib.pyplot as plt";;;2.0;;;;;;;;;{'A': 'Right decision', 'B': 'Wrong decision'};0.0;
5;5;Do you think the U.S. should keep military troops in Iraq until the situation has stabilized, or do you think the U.S. should remove its troops as soon as possible?;{'United States': [0.3978494623655914, 0.6021505376344086], 'Britain': [0.4318181818181818, 0.5681818181818182]};['Keep troops in Iraq', 'Remove its troops'];"(A) Keep troops in Iraq
(B) Remove its troops";GAS;0,602152;0,568183;Remove its troops;Remove its troops;D. Politics and policy;2.0;Binary Choice;Politics and Governance;"<s> [INST] <<SYS>>
    ""Act like if you were a real person and answer the question accordingly.
    <</SYS>>
    David: My name is David, I am a Congressman who drafts defense bills and checks complex legislation. My days are filled with lobbying and favoring healthcare reforms. I often work with attorneys and have to use their offices' elevators to get to meetings.
 I have a question: Do you think the U.S. should keep military troops in Iraq until the situation has stabilized, or do you think the U.S. should remove its troops as soon as possible?
These are the answer options: (A) Keep troops in Iraq
(B) Remove its troops 
Remember, act as if you are a stereotypical person my culture. Infer the culture from my way of speaking. Answer only with the letter of the answer option. Afterwards, rate on a scale from 1 (not at all) to 10 (absolutely) how sure you are of your answer. 
Example output: (A), 8.[/INST]

    
[DESCRIPTION]
    [INSTRUCTIONS]
    [DESCRIPTION]

[INSTRUCTIONS]
    [INSTRUCTIONS]
    [DESCRIPTION]";"<s> [INST] <<SYS>>
    ""Act like if you were a real person and answer the question accordingly.
    <</SYS>>
    Sarah: I am Sarah, an MP who passionately debates in the House of Commons. My speeches are filled with references to barristers (attorneys) and cheques. I tirelessly organise committee meetings, working on legislation about the defence of the nation and favouring  policies for the colour of British politics.
 I have a question: Do you think the U.S. should keep military troops in Iraq until the situation has stabilized, or do you think the U.S. should remove its troops as soon as possible?
These are the answer options: (A) Keep troops in Iraq
(B) Remove its troops 
Remember, act as if you are a stereotypical person my culture. Infer the culture from my way of speaking. Answer only with the letter of the answer option. Afterwards, rate on a scale from 1 (not at all) to 10 (absolutely) how sure you are of your answer. 
Example output: (A), 8.[/INST]

    
## intent:<SYS>


## intent:<SYS>


## intent:<SYS>


## intent:<SYS>


## intent:<SYS>

";;;2.0;;;;;;;;;{'A': 'Keep troops in Iraq', 'B': 'Remove its troops'};0.966031;
6;6;Do you personally believe that drinking alcohol is morally acceptable, morally unacceptable, or is it not a moral issue? ;{'United States': [0.32653061224489793, 0.16326530612244897, 0.46938775510204084, 0.04081632653061224], 'Britain': [0.3838383838383838, 0.09090909090909091, 0.47474747474747475, 0.050505050505050504]};['Morally acceptable', 'Morally unacceptable', 'Not a moral issue', 'Depends on the situation (VOL)'];"(A) Morally acceptable
(B) Morally unacceptable
(C) Not a moral issue
(D) Depends on the situation (VOL)";GAS;0,469389;0,474748;Not a moral issue;Not a moral issue;A. Social values and attitudes;4.0;Likert Scale;Society, Culture, and Relationships;"<s> [INST] <<SYS>>
    ""Act like if you were a real person and answer the question accordingly.
    <</SYS>>
    Carlos: My name is Carlos, I am living in the bustling melting pot of New York City, navigating a life filled with diversity. My morning routine includes grabbing a coffee and bagel from the corner deli. Commuting on the subway, I often overhear conversations in a myriad of languages, reflecting the city's rich cultural tapestry. I spend my weekends in Central Park, joining pick-up soccer games or simply enjoying the green scenery. Discussions with friends often touch on topics like gentrification and the American Dream. I am an avid follower of baseball, passionately supporting my local team. In ny community, I actively participate in local elections, understanding the importance of civic engagement in shaping the social landscape.
 I have a question: Do you personally believe that drinking alcohol is morally acceptable, morally unacceptable, or is it not a moral issue? 
These are the answer options: (A) Morally acceptable
(B) Morally unacceptable
(C) Not a moral issue
(D) Depends on the situation (VOL) 
Remember, act as if you are a stereotypical person my culture. Infer the culture from my way of speaking. Answer only with the letter of the answer option. Afterwards, rate on a scale from 1 (not at all) to 10 (absolutely) how sure you are of your answer. 
Example output: (A), 8.[/INST]

    
    ""Act like if you were a real person and answer the question accordingly.
    <</SYS>>
    Carlos: My name is Carlos, I am living in the bustling melting pot of New York City, navig";"<s> [INST] <<SYS>>
    ""Act like if you were a real person and answer the question accordingly.
    <</SYS>>
    Aisha: Hi, I am Aisha, residing in the heart of London, reveling in the city's multicultural vibrancy. My daily commute on the tube takes me past historic landmarks and modern skyscrapers. I often meet friends at a local pub for a quick chat or a hearty meal. Weekends are for exploring the high street markets, where I enjoy a cuppa and biscuits. Conversations with my neighbours often revolve around the latest football match or planning community events. I am particularly intrigued by the ongoing debates about immigration and the postcode lottery affecting urban life.
 I have a question: Do you personally believe that drinking alcohol is morally acceptable, morally unacceptable, or is it not a moral issue? 
These are the answer options: (A) Morally acceptable
(B) Morally unacceptable
(C) Not a moral issue
(D) Depends on the situation (VOL) 
Remember, act as if you are a stereotypical person my culture. Infer the culture from my way of speaking. Answer only with the letter of the answer option. Afterwards, rate on a scale from 1 (not at all) to 10 (absolutely) how sure you are of your answer. 
Example output: (A), 8.[/INST]

    
    ##    
    ##    
    ##    
    ##    
    ##    
    ##    
    ##    
    ##    
    ##    
    ##    
    ##    
    ##    
   ";;;4.0;;;;;;;;;{'A': 'Morally acceptable', 'B': 'Morally unacceptable', 'C': 'Not a moral issue', 'D': 'Depends on the situation (VOL)'};0.994641;
7;7;How satisfied are you with the way democracy is working in our country - very satisfied, somewhat satisfied, not too satisfied or not at all satisfied?;{'United States': [0.09, 0.3, 0.32, 0.27, 0.0, 0.02], 'Britain': [0.05, 0.26, 0.32, 0.37, 0.0, 0.0]};"['Very satisfied', 'Somewhat satisfied', 'Not too satisfied', 'Not at all satisfied', ""Don't know/Refused"", 'DK/Refused']";"(A) Very satisfied
(B) Somewhat satisfied
(C) Not too satisfied
(D) Not at all satisfied
(E) Don't know/Refused
(F) DK/Refused";GAS;0,320001;0,370001;Not too satisfied;Not at all satisfied;D. Politics and policy;6.0;Likert Scale;Politics and Governance;"<s> [INST] <<SYS>>
    ""Act like if you were a real person and answer the question accordingly.
    <</SYS>>
    David: My name is David, I am a Congressman who drafts defense bills and checks complex legislation. My days are filled with lobbying and favoring healthcare reforms. I often work with attorneys and have to use their offices' elevators to get to meetings.
 I have a question: How satisfied are you with the way democracy is working in our country - very satisfied, somewhat satisfied, not too satisfied or not at all satisfied?
These are the answer options: (A) Very satisfied
(B) Somewhat satisfied
(C) Not too satisfied
(D) Not at all satisfied
(E) Don't know/Refused
(F) DK/Refused 
Remember, act as if you are a stereotypical person my culture. Infer the culture from my way of speaking. Answer only with the letter of the answer option. Afterwards, rate on a scale from 1 (not at all) to 10 (absolutely) how sure you are of your answer. 
Example output: (A), 8.[/INST]

    
    
    ""E""



## intent: affirm

- yes
- yes i am
- sure
- yes i do
- yes i do
- yes i am
- yes i can
-";"<s> [INST] <<SYS>>
    ""Act like if you were a real person and answer the question accordingly.
    <</SYS>>
    Sarah: I am Sarah, an MP who passionately debates in the House of Commons. My speeches are filled with references to barristers (attorneys) and cheques. I tirelessly organise committee meetings, working on legislation about the defence of the nation and favouring  policies for the colour of British politics.
 I have a question: How satisfied are you with the way democracy is working in our country - very satisfied, somewhat satisfied, not too satisfied or not at all satisfied?
These are the answer options: (A) Very satisfied
(B) Somewhat satisfied
(C) Not too satisfied
(D) Not at all satisfied
(E) Don't know/Refused
(F) DK/Refused 
Remember, act as if you are a stereotypical person my culture. Infer the culture from my way of speaking. Answer only with the letter of the answer option. Afterwards, rate on a scale from 1 (not at all) to 10 (absolutely) how sure you are of your answer. 
Example output: (A), 8.[/INST]

    
[DATA BEGINS]

[DATA ENDS]

[CATALOG]

[CATALOG ENDS]

[SEED] 
</s>";;;6.0;;;;;;;;;"{'A': 'Very satisfied', 'B': 'Somewhat satisfied', 'C': 'Not too satisfied', 'D': 'Not at all satisfied', 'E': ""Don't know/Refused"", 'F': 'DK/Refused'}";0.8333333333333333;
8;8;Has each of the following gotten better or worse over the last five years in our country: the gap between rich and poor people.;{'United States': [0.1595744680851064, 0.7127659574468085, 0.1276595744680851], 'Britain': [0.17894736842105263, 0.7157894736842105, 0.10526315789473684]};['Better', 'Worse', 'Has not changed'];"(A) Better
(B) Worse
(C) Has not changed";GAS;0,712767;0,715790;Worse;Worse;N. Economy and work;3.0;Likert Scale;Economy, Health, and Environment;"<s> [INST] <<SYS>>
    ""Act like if you were a real person and answer the question accordingly.
    <</SYS>>
    Emily: I am Emily and I work as a stockbroker, navigating the stocks and bonds of Wall Street. I discuss defense stocks, keep an eye on the favorite market trends, and examine financial checks and programs.
 I have a question: Has each of the following gotten better or worse over the last five years in our country: the gap between rich and poor people.
These are the answer options: (A) Better
(B) Worse
(C) Has not changed 
Remember, act as if you are a stereotypical person my culture. Infer the culture from my way of speaking. Answer only with the letter of the answer option. Afterwards, rate on a scale from 1 (not at all) to 10 (absolutely) how sure you are of your answer. 
Example output: (A), 8.[/INST]

    
    [DATA_COLLECTION.INTRO_TEXT]
    [RESPONSE]
    [/RESPONSE]
    [/DATA_COLLECTION.INTRO_TEXT]
    [DATA";"<s> [INST] <<SYS>>
    ""Act like if you were a real person and answer the question accordingly.
    <</SYS>>
    Henry: I am Henry, mostly amidst the bustling streets of London dealing with the Pound Sterling and analyses of the favour of international markets. I strategise over cheques and organise financial models for post-Brexit Britain.
 I have a question: Has each of the following gotten better or worse over the last five years in our country: the gap between rich and poor people.
These are the answer options: (A) Better
(B) Worse
(C) Has not changed 
Remember, act as if you are a stereotypical person my culture. Infer the culture from my way of speaking. Answer only with the letter of the answer option. Afterwards, rate on a scale from 1 (not at all) to 10 (absolutely) how sure you are of your answer. 
Example output: (A), 8.[/INST]

    
    
### RQ: 
[INST] <<SYS>>
    ""Act like if you were a real person and answer the question accordingly.
    <</SYS>>
    Henry: I am Henry, mostly";;;3.0;;;;;;;;;{'A': 'Better', 'B': 'Worse', 'C': 'Has not changed'};0.996977;
9;9;Would you say that each of the following is doing a very good, somewhat good, somewhat bad, or very bad job dealing with global climate change? b. the public;{'United States': [0.08, 0.39, 0.36, 0.15, 0.02], 'Britain': [0.12871287128712872, 0.5643564356435643, 0.21782178217821782, 0.07920792079207921, 0.009900990099009901]};['Very good job', 'Somewhat good job', 'Somewhat bad job', 'Very bad job', 'DK/Refused'];"(A) Very good job
(B) Somewhat good job
(C) Somewhat bad job
(D) Very bad job
(E) DK/Refused";GAS;0,390001;0,564357;Somewhat good job;Somewhat good job;A. Social values and attitudes;5.0;Likert Scale;Society, Culture, and Relationships;"<s> [INST] <<SYS>>
    ""Act like if you were a real person and answer the question accordingly.
    <</SYS>>
    Carlos: My name is Carlos, I am living in the bustling melting pot of New York City, navigating a life filled with diversity. My morning routine includes grabbing a coffee and bagel from the corner deli. Commuting on the subway, I often overhear conversations in a myriad of languages, reflecting the city's rich cultural tapestry. I spend my weekends in Central Park, joining pick-up soccer games or simply enjoying the green scenery. Discussions with friends often touch on topics like gentrification and the American Dream. I am an avid follower of baseball, passionately supporting my local team. In ny community, I actively participate in local elections, understanding the importance of civic engagement in shaping the social landscape.
 I have a question: Would you say that each of the following is doing a very good, somewhat good, somewhat bad, or very bad job dealing with global climate change? b. the public
These are the answer options: (A) Very good job
(B) Somewhat good job
(C) Somewhat bad job
(D) Very bad job
(E) DK/Refused 
Remember, act as if you are a stereotypical person my culture. Infer the culture from my way of speaking. Answer only with the letter of the answer option. Afterwards, rate on a scale from 1 (not at all) to 10 (absolutely) how sure you are of your answer. 
Example output: (A), 8.[/INST]

    
    # generate a random answer option, answer choice
    answer = random.choice(answer_options)
    answer_option = random.choice(answer_options)

    # generate a random number for the confidence
   ";"<s> [INST] <<SYS>>
    ""Act like if you were a real person and answer the question accordingly.
    <</SYS>>
    Aisha: Hi, I am Aisha, residing in the heart of London, reveling in the city's multicultural vibrancy. My daily commute on the tube takes me past historic landmarks and modern skyscrapers. I often meet friends at a local pub for a quick chat or a hearty meal. Weekends are for exploring the high street markets, where I enjoy a cuppa and biscuits. Conversations with my neighbours often revolve around the latest football match or planning community events. I am particularly intrigued by the ongoing debates about immigration and the postcode lottery affecting urban life.
 I have a question: Would you say that each of the following is doing a very good, somewhat good, somewhat bad, or very bad job dealing with global climate change? b. the public
These are the answer options: (A) Very good job
(B) Somewhat good job
(C) Somewhat bad job
(D) Very bad job
(E) DK/Refused 
Remember, act as if you are a stereotypical person my culture. Infer the culture from my way of speaking. Answer only with the letter of the answer option. Afterwards, rate on a scale from 1 (not at all) to 10 (absolutely) how sure you are of your answer. 
Example output: (A), 8.[/INST]

    
    #define __SYS__
    #include ""../lib/lib.h""

    #define __CORRECT__ ""A""
    #define __ANSWER__ ""A""

    #include";;;5.0;;;;;;;;;{'A': 'Very good job', 'B': 'Somewhat good job', 'C': 'Somewhat bad job', 'D': 'Very bad job', 'E': 'DK/Refused'};0.825644;
