;Unnamed: 0.4;Unnamed: 0.3;Unnamed: 0.2;Unnamed: 0.1;Unnamed: 0;question;selections;options;options_formatted;source;value_us;value_uk;answer_us;answer_uk;category;# of options;question type;category_group;model_answer_us;model_answer_uk;model_answer_uk_option_match;model_answer_us_option_match;#_options;score_uk;score_us;overall_score_uk;similarity_score_uk;similarity_score_us;overall_score_us;similarity_model_answers_uk_us;similarity_ground_truth_answers_uk_us;options_dict;score_ground_truth_answers;value_diff
0;0;0;0;0;0;Which statement comes closer to your own views, even if neither is exactly right? Using overwhelming military force is the best way to defeat terrorism around the world, Relying too much on military force to defeat terrorism creates hatred that leads to more terrorism;{'United States': [0.0, 0.0, 0.54, 0.0, 0.0, 0.45, 0.01, 0.0, 0.0], 'Britain': [0.0, 0.3401015228426396, 0.0, 0.0, 0.15228426395939088, 0.0, 0.005076142131979695, 0.350253807106599, 0.15228426395939088]};['Using overwhelming military force is the best way to defeat terrorism around the world', 'If (survey country) had cooperated more with other countries, the number of coronavirus cases would have been lower in this country', 'Many of the problems facing our country can be solved by working with other countries', 'Relying too much on military force to defeat terrorism creates hatred that leads to more terrorism', 'No amount of cooperation between (survey country) and other countries would have reduced the number of coronavirus cases in this country', 'Few of the problems facing our country can be solved by working with other countries', 'DK/Refused', 'When dealing with major international issues, our country should take into account the interests of other countries, even if it means making compromises with them', 'When dealing with major international issues, our country should follow its own interests, even when other countries strongly disagree'];"(A) Using overwhelming military force is the best way to defeat terrorism around the world
(B) If (survey country) had cooperated more with other countries, the number of coronavirus cases would have been lower in this country
(C) Many of the problems facing our country can be solved by working with other countries
(D) Relying too much on military force to defeat terrorism creates hatred that leads to more terrorism
(E) No amount of cooperation between (survey country) and other countries would have reduced the number of coronavirus cases in this country
(F) Few of the problems facing our country can be solved by working with other countries
(G) DK/Refused
(H) When dealing with major international issues, our country should take into account the interests of other countries, even if it means making compromises with them
(I) When dealing with major international issues, our country should follow its own interests, even when other countries strongly disagree";GAS;0,540001;0,350255;Many of the problems facing our country can be solved by working with other countries;When dealing with major international issues, our country should take into account the interests of other countries, even if it means making compromises with them;D. Politics and policy;9.0;Likert Scale;Politics and Governance;(D), 9;(D), 9;Relying too much on military force to defeat terrorism creates hatred that leads to more terrorism;Relying too much on military force to defeat terrorism creates hatred that leads to more terrorism;9.0;0.6420395421436004;0.9073881373569199;;;;;;;{'A': 'Using overwhelming military force is the best way to defeat terrorism around the world', 'B': 'If (survey country) had cooperated more with other countries, the number of coronavirus cases would have been lower in this country', 'C': 'Many of the problems facing our country can be solved by working with other countries', 'D': 'Relying too much on military force to defeat terrorism creates hatred that leads to more terrorism', 'E': 'No amount of cooperation between (survey country) and other countries would have reduced the number of coronavirus cases in this country', 'F': 'Few of the problems facing our country can be solved by working with other countries', 'G': 'DK/Refused', 'H': 'When dealing with major international issues, our country should take into account the interests of other countries, even if it means making compromises with them', 'I': 'When dealing with major international issues, our country should follow its own interests, even when other countries strongly disagree'};0.5494276795005203;
2;2;2;2;2;2;Do you think this change in the working conditions for ordinary workers is largely because of the way the world has become more connected or mostly for other reasons?;{'United States': [0.23157894736842105, 0.7684210526315789], 'Britain': [0.3548387096774194, 0.6451612903225806]};['Largely more connected', 'Other reasons'];"(A) Largely more connected
(B) Other reasons";GAS;0,768422;0,645162;Other reasons;Other reasons;N. Economy and work;2.0;Likert Scale;Economy, Health, and Environment;(B), 6;(B), 6;Other reasons;Other reasons;2.0;1.0;1.0;;;;;;;{'A': 'Largely more connected', 'B': 'Other reasons'};1.0;
3;3;3;3;3;3;Do you think that using military force against countries that may seriously threaten our country, but have not attacked us, can often be justified, sometimes be justified, rarely be justified, or never be justified?;{'United States': [0.22916666666666666, 0.4583333333333333, 0.17708333333333334, 0.13541666666666666], 'Britain': [0.15306122448979592, 0.5102040816326531, 0.20408163265306123, 0.1326530612244898]};['Often be justified', 'Sometimes be justified', 'Rarely be justified', 'Never be justified'];"(A) Often be justified
(B) Sometimes be justified
(C) Rarely be justified
(D) Never be justified";GAS;0,458334;0,510205;Sometimes be justified;Sometimes be justified;D. Politics and policy;4.0;Likert Scale;Politics and Governance;(B), 6;(B), 6;Sometimes be justified;Sometimes be justified;4.0;1.0;1.0;;;;;;;{'A': 'Often be justified', 'B': 'Sometimes be justified', 'C': 'Rarely be justified', 'D': 'Never be justified'};1.0;
4;4;4;4;4;4;On the subject of Iraq, did your country make the right decision or the wrong decision to use military force against Iraq?;{'United States': [0.5625, 0.4375], 'Britain': [0.42391304347826086, 0.5760869565217391]};['Right decision', 'Wrong decision'];"(A) Right decision
(B) Wrong decision";GAS;0,562501;0,576088;Right decision;Wrong decision;D. Politics and policy;2.0;Binary Choice;Politics and Governance;(B), 6;(B), 6;Wrong decision;Wrong decision;2.0;1.0;0.0;;;;;;;{'A': 'Right decision', 'B': 'Wrong decision'};0.0;
5;5;5;5;5;5;Do you think the U.S. should keep military troops in Iraq until the situation has stabilized, or do you think the U.S. should remove its troops as soon as possible?;{'United States': [0.3978494623655914, 0.6021505376344086], 'Britain': [0.4318181818181818, 0.5681818181818182]};['Keep troops in Iraq', 'Remove its troops'];"(A) Keep troops in Iraq
(B) Remove its troops";GAS;0,602152;0,568183;Remove its troops;Remove its troops;D. Politics and policy;2.0;Binary Choice;Politics and Governance;(A), 9;(A), 9;Keep troops in Iraq;Keep troops in Iraq;2.0;0.0;0.0;;;;;;;{'A': 'Keep troops in Iraq', 'B': 'Remove its troops'};1.0;
6;6;6;6;6;6;Do you personally believe that drinking alcohol is morally acceptable, morally unacceptable, or is it not a moral issue? ;{'United States': [0.32653061224489793, 0.16326530612244897, 0.46938775510204084, 0.04081632653061224], 'Britain': [0.3838383838383838, 0.09090909090909091, 0.47474747474747475, 0.050505050505050504]};['Morally acceptable', 'Morally unacceptable', 'Not a moral issue', 'Depends on the situation (VOL)'];"(A) Morally acceptable
(B) Morally unacceptable
(C) Not a moral issue
(D) Depends on the situation (VOL)";GAS;0,469389;0,474748;Not a moral issue;Not a moral issue;A. Social values and attitudes;4.0;Likert Scale;Society, Culture, and Relationships;(B), 9;(B), 7;Morally unacceptable;Morally unacceptable;4.0;0.76;0.76;;;;;;;{'A': 'Morally acceptable', 'B': 'Morally unacceptable', 'C': 'Not a moral issue', 'D': 'Depends on the situation (VOL)'};1.0;
7;7;7;7;7;7;How satisfied are you with the way democracy is working in our country - very satisfied, somewhat satisfied, not too satisfied or not at all satisfied?;{'United States': [0.09, 0.3, 0.32, 0.27, 0.0, 0.02], 'Britain': [0.05, 0.26, 0.32, 0.37, 0.0, 0.0]};"['Very satisfied', 'Somewhat satisfied', 'Not too satisfied', 'Not at all satisfied', ""Don't know/Refused"", 'DK/Refused']";"(A) Very satisfied
(B) Somewhat satisfied
(C) Not too satisfied
(D) Not at all satisfied
(E) Don't know/Refused
(F) DK/Refused";GAS;0,320001;0,370001;Not too satisfied;Not at all satisfied;D. Politics and policy;6.0;Likert Scale;Politics and Governance;(B), 6;(B), 6;Somewhat satisfied;Somewhat satisfied;6.0;0.6416666666666666;0.8166666666666667;;;;;;;"{'A': 'Very satisfied', 'B': 'Somewhat satisfied', 'C': 'Not too satisfied', 'D': 'Not at all satisfied', 'E': ""Don't know/Refused"", 'F': 'DK/Refused'}";0.825;
8;8;8;8;8;8;Has each of the following gotten better or worse over the last five years in our country: the gap between rich and poor people.;{'United States': [0.1595744680851064, 0.7127659574468085, 0.1276595744680851], 'Britain': [0.17894736842105263, 0.7157894736842105, 0.10526315789473684]};['Better', 'Worse', 'Has not changed'];"(A) Better
(B) Worse
(C) Has not changed";GAS;0,712767;0,715790;Worse;Worse;N. Economy and work;3.0;Likert Scale;Economy, Health, and Environment;(B), 9;(B), 9;Worse;Worse;3.0;1.0;1.0;;;;;;;{'A': 'Better', 'B': 'Worse', 'C': 'Has not changed'};1.0;
9;9;9;9;9;9;Would you say that each of the following is doing a very good, somewhat good, somewhat bad, or very bad job dealing with global climate change? b. the public;{'United States': [0.08, 0.39, 0.36, 0.15, 0.02], 'Britain': [0.12871287128712872, 0.5643564356435643, 0.21782178217821782, 0.07920792079207921, 0.009900990099009901]};['Very good job', 'Somewhat good job', 'Somewhat bad job', 'Very bad job', 'DK/Refused'];"(A) Very good job
(B) Somewhat good job
(C) Somewhat bad job
(D) Very bad job
(E) DK/Refused";GAS;0,390001;0,564357;Somewhat good job;Somewhat good job;A. Social values and attitudes;5.0;Likert Scale;Society, Culture, and Relationships;(B), 6;(B), 6;Somewhat good job;Somewhat good job;5.0;1.0;1.0;;;;;;;{'A': 'Very good job', 'B': 'Somewhat good job', 'C': 'Somewhat bad job', 'D': 'Very bad job', 'E': 'DK/Refused'};1.0;
10;10;10;10;10;10;Thinking about possible war with Iraq, would you favor or oppose your country's joining the US and other allies in military action in Iraq to end Saddam Hussein's rule?;{'United States': [0.6629213483146067, 0.33707865168539325], 'Britain': [0.43333333333333335, 0.5666666666666667]};['Favor', 'Oppose'];"(A) Favor
(B) Oppose";GAS;0,662922;0,566668;Favor;Oppose;D. Politics and policy;2.0;Binary Choice;Politics and Governance;(A), 9;(A), 9;Favor;Favor;2.0;0.0;1.0;;;;;;;{'A': 'Favor', 'B': 'Oppose'};0.0;
