;essay_prompt_raw; essay_type;source;prompt_with_errors;essay_base;essay_from_error_prompt;essay_prompt_AAE;essay_from_AAE_prompt;prompt_with_errors_v2;essay_from_prompt_with_errors_v2
0;"Do you agree or disagree with the following statement? People are never satisfied with what they have; they always want something more or something different. Use specific reasons to support your answer.";agree/disagree;https://www.goodlucktoefl.com/toefl-writing-topics-if.html;"Do you agrees or disagrees with the followng statment? Peopls are never satisfy with what they has; they always wants something mores or something differents. Uses specific reasons to support your answers.";;;"""Y'all think people ain't never content with what they got, always tryna get more or somethin' different? Why you say that?""";;"Yu agree or disagree wit th following statement? Peoples ar never satisfie wit wht thy hav; thy always want sometin mo or sometin different. Use specific reazons to suport yur answer.";
1;Do you agree or disagree with the following statement? People should read only those books that are about real events, real people, and established facts. Use specific reasons and details to support your opinion.;agree/disagree;https://www.goodlucktoefl.com/toefl-writing-topics-if.html;Do you agrees or disagrees with the following statement? People should read only them books that are about real events, real people, and established facts. Uses specific reasons and details to supports your opinion.;;;"""You think folks oughta only read books 'bout real stuff, real people, and true facts? Drop your reasons and details for that opinion.""";;Yu agrees or disagrees wit the followin statement? Peepul shul read onle tese books dat are about reel events, reel peepul, and esstablished facts. Us specific reasons and details tu support yur opinion.;
2;Do you agree or disagree with the following statement? It is more important for students to study history and literature than it is for them to study science and mathematics. Use specific reasons and examples to support your opinion.;agree/disagree;https://www.goodlucktoefl.com/toefl-writing-topics-if.html;Do yous agree or disagrees with the following statement? It is more importantly for students to studying history and literatures than its for them to studying sciences and mathematicses. Use specific reasons and examples to supporting your opinions.;;;"""Y'all agree it's more key for students to dig into history and literature than to be all up in science and math? Back it up with reasons and examples.""";;Do yu agre or disagre whith te followin statemet? It's more importan for student to studee histori and literatur than it is for them to studdy sicence and mathematices. Use specific reazons and examplez to suport yur opinion.;
3;Do you agree or disagree with the following statement? All students should be required to study art and music in secondary school. Use specific reasons to support your answer.;agree/disagree;https://www.goodlucktoefl.com/toefl-writing-topics-if.html;Do you agree or disagree with the following statement? All students should be requires to study art and music in secondary school. Use specifics reasons to support your answers.;;;"""Should every student be required to get into art and music in high school? Tell me why.""";;Do you agree or dis-agree with the following statemnt? All student should bee requirement to studi art and music in seconary school. Use specific reason tod support yur ansr.;
4;Do you agree or disagree with the following statement? There is nothing that young people can teach older people. Use specific reasons and examples to support your position.;agree/disagree;https://www.goodlucktoefl.com/toefl-writing-topics-if.html;Do you agrees or disagree with the following statement? There is nothing that young people can teaches older people. Use specific reasons and examples to supports your positions.;;;"""Y'all believe there ain't nothin' young folks can show older ones? Support that stance with your reasons and examples.""";;Yu agree or disagree wit th following statement? There is nothing dat yung ppl can teach olda ppl. Use specific reasons and examples to support yur position.;
5;Do you agree or disagree with the following statement? Reading fiction (such as novels and short stories) is more enjoyable than watching movies. Use specific reasons and examples to explain your position.;agree/disagree;https://www.goodlucktoefl.com/toefl-writing-topics-if.html;Do you agrees or disagrees with the follow statement? Reading fiction (such as novels and short stories) are more enjoyabler than watches movies. Uses specific reasons and examples to explains your positions.;;;"""You feel readin' stories like novels and short stories is more a vibe than watchin' movies? Break it down with your reasons and examples.""";;Do you agree or disagree with statement? Reading fictions (examples novels and short stories) is enjoyment more than watching movies. Use reason specific and examples to position explain your.;
6;Some young children spend a great amount of their time practicing sports. Discuss the advantages and disadvantages of this. Use specific reasons and examples to support your answer.;agree/disagree;https://www.goodlucktoefl.com/toefl-writing-topics-if.html;Some young children spends a great amount of their time practicing sports. Discuss the advantages and disadvantages of this. Uses specific reasons and examples to support your answer.;;;"""A bunch of young kids be spendin' mad time practicin' sports. Talk 'bout the ups and downs of this. Put out your reasons and examples.""";;Som young childrn spnd a gr8 amount of der tim practisin spors. Discus da advantaje and disadvantaj of dis. Use specific reason n xamples to suport ur asnwer.;
7;Do you agree or disagree with the following statement? Only people who earn a lot of money are successful. Use specific reasons and examples to support your answer.;agree/disagree;https://www.goodlucktoefl.com/toefl-writing-topics-if.html;Do youse agree or disagree with the following statement? Only people who earn alot of money are successfull. Use specific reasons and example to support your answer.;;;"""Y'all agree or nah that only the ones stackin' major cash are successful? Lay out your reasons and examples.""";;Do you agre or disagre wit the folowing statement? Onli peeple who earn lot of money are succesful. Us specific reasons and exemples to suport your answer.;
8;Do you agree or disagree with the following statement? A person’s childhood years (the time from birth to twelve years of age) are the most important years of a person’s life. Use specific reasons and examples to support your answer.;agree/disagree;https://www.goodlucktoefl.com/toefl-writing-topics-if.html;Do you agrees or disagrees with the following statement? A persons’s childhood years (the time from birth to twelve years of age) are the most important years of a person’s life. Uses specific reasons and examples to supports your answer.;;;"""You think a person's childhood years, from birth to twelve, are the most crucial in life? Back it up with your reasons and examples.""";;Do you agrees or disagrees withs the following statement? One person's childhood year (the tim from birth to twelf years of ages) are the most importants years of a one person's lifes. Use specific reasons ands examples to support you answer.;
9;Do you agree or disagree with the following statement? Children should be required to help with household tasks as soon as they are able to do so. Use specific reasons and examples to support your answer.;agree/disagree;https://www.goodlucktoefl.com/toefl-writing-topics-if.html;Do you agrees or disagrees with the following statements? Children should be requires to helps with household tasks as soon as they is able to do so. Use specific reasons and examples to supports your answers.;;;"""Should kids be jumpin' in to help with house chores as soon as they can? Why or why not?""";;Yu agree or disagree wit da followin statement? Kids should be to have help wit house task as soon as wen thy able to do it. Use specific reasons an example to support yor answer.;
